⠀;2800;BRAILLE PATTERN BLANK;
⣊;28CA;BRAILLE PATTERN DOTS-2478;
⣋;28CB;BRAILLE PATTERN DOTS-12478;
⣌;28CC;BRAILLE PATTERN DOTS-3478;
⣍;28CD;BRAILLE PATTERN DOTS-13478;
⣎;28CE;BRAILLE PATTERN DOTS-23478;
⣏;28CF;BRAILLE PATTERN DOTS-123478;
⣐;28D0;BRAILLE PATTERN DOTS-578;
⣑;28D1;BRAILLE PATTERN DOTS-1578;
⣒;28D2;BRAILLE PATTERN DOTS-2578;
⣓;28D3;BRAILLE PATTERN DOTS-12578;
⣔;28D4;BRAILLE PATTERN DOTS-3578;
⣕;28D5;BRAILLE PATTERN DOTS-13578;
⣖;28D6;BRAILLE PATTERN DOTS-23578;
⣗;28D7;BRAILLE PATTERN DOTS-123578;
⣘;28D8;BRAILLE PATTERN DOTS-4578;
⣙;28D9;BRAILLE PATTERN DOTS-14578;
⣚;28DA;BRAILLE PATTERN DOTS-24578;
⣛;28DB;BRAILLE PATTERN DOTS-124578;
⣜;28DC;BRAILLE PATTERN DOTS-34578;
⣝;28DD;BRAILLE PATTERN DOTS-134578;
⣞;28DE;BRAILLE PATTERN DOTS-234578;
⣟;28DF;BRAILLE PATTERN DOTS-1234578;
⣠;28E0;BRAILLE PATTERN DOTS-678;
⣡;28E1;BRAILLE PATTERN DOTS-1678;
⣢;28E2;BRAILLE PATTERN DOTS-2678;
⣣;28E3;BRAILLE PATTERN DOTS-12678;
⣤;28E4;BRAILLE PATTERN DOTS-3678;
⣥;28E5;BRAILLE PATTERN DOTS-13678;
⣦;28E6;BRAILLE PATTERN DOTS-23678;
⣧;28E7;BRAILLE PATTERN DOTS-123678;
⣨;28E8;BRAILLE PATTERN DOTS-4678;
⣩;28E9;BRAILLE PATTERN DOTS-14678;
⣪;28EA;BRAILLE PATTERN DOTS-24678;
⣫;28EB;BRAILLE PATTERN DOTS-124678;
⣬;28EC;BRAILLE PATTERN DOTS-34678;
⣭;28ED;BRAILLE PATTERN DOTS-134678;
⣮;28EE;BRAILLE PATTERN DOTS-234678;
⣯;28EF;BRAILLE PATTERN DOTS-1234678;
⣰;28F0;BRAILLE PATTERN DOTS-5678;
⣱;28F1;BRAILLE PATTERN DOTS-15678;
⣲;28F2;BRAILLE PATTERN DOTS-25678;
⣳;28F3;BRAILLE PATTERN DOTS-125678;
⣴;28F4;BRAILLE PATTERN DOTS-35678;
⣵;28F5;BRAILLE PATTERN DOTS-135678;
⣶;28F6;BRAILLE PATTERN DOTS-235678;
⣷;28F7;BRAILLE PATTERN DOTS-1235678;
⣸;28F8;BRAILLE PATTERN DOTS-45678;
⣹;28F9;BRAILLE PATTERN DOTS-145678;
⣺;28FA;BRAILLE PATTERN DOTS-245678;
⣻;28FB;BRAILLE PATTERN DOTS-1245678;
⣼;28FC;BRAILLE PATTERN DOTS-345678;
⣽;28FD;BRAILLE PATTERN DOTS-1345678;
⣾;28FE;BRAILLE PATTERN DOTS-2345678;
⣿;28FF;BRAILLE PATTERN DOTS-12345678;
