ぁ;3041;HIRAGANA LETTER SMALL A;
テ;30C6;KATAKANA LETTER TE;
デ;30C7;KATAKANA LETTER DE;
ト;30C8;KATAKANA LETTER TO;
ド;30C9;KATAKANA LETTER DO;
ナ;30CA;KATAKANA LETTER NA;
ニ;30CB;KATAKANA LETTER NI;
ヌ;30CC;KATAKANA LETTER NU;
ネ;30CD;KATAKANA LETTER NE;
ノ;30CE;KATAKANA LETTER NO;
ハ;30CF;KATAKANA LETTER HA;
バ;30D0;KATAKANA LETTER BA;
パ;30D1;KATAKANA LETTER PA;
ヒ;30D2;KATAKANA LETTER HI;
ビ;30D3;KATAKANA LETTER BI;
ピ;30D4;KATAKANA LETTER PI;
フ;30D5;KATAKANA LETTER HU;
ブ;30D6;KATAKANA LETTER BU;
プ;30D7;KATAKANA LETTER PU;
ヘ;30D8;KATAKANA LETTER HE;
ベ;30D9;KATAKANA LETTER BE;
ペ;30DA;KATAKANA LETTER PE;
ホ;30DB;KATAKANA LETTER HO;
ボ;30DC;KATAKANA LETTER BO;
ポ;30DD;KATAKANA LETTER PO;
マ;30DE;KATAKANA LETTER MA;
ミ;30DF;KATAKANA LETTER MI;
ム;30E0;KATAKANA LETTER MU;
メ;30E1;KATAKANA LETTER ME;
モ;30E2;KATAKANA LETTER MO;
ャ;30E3;KATAKANA LETTER SMALL YA;
ヤ;30E4;KATAKANA LETTER YA;
ュ;30E5;KATAKANA LETTER SMALL YU;
ユ;30E6;KATAKANA LETTER YU;
ョ;30E7;KATAKANA LETTER SMALL YO;
ヨ;30E8;KATAKANA LETTER YO;
ラ;30E9;KATAKANA LETTER RA;
リ;30EA;KATAKANA LETTER RI;
ル;30EB;KATAKANA LETTER RU;
レ;30EC;KATAKANA LETTER RE;
ロ;30ED;KATAKANA LETTER RO;
ヮ;30EE;KATAKANA LETTER SMALL WA;
ワ;30EF;KATAKANA LETTER WA;
ヰ;30F0;KATAKANA LETTER WI;
ヱ;30F1;KATAKANA LETTER WE;
ヲ;30F2;KATAKANA LETTER WO;
ン;30F3;KATAKANA LETTER N;
ヴ;30F4;KATAKANA LETTER VU;
ヵ;30F5;KATAKANA LETTER SMALL KA;
ヶ;30F6;KATAKANA LETTER SMALL KE;
ヷ;30F7;KATAKANA LETTER VA;
ヸ;30F8;KATAKANA LETTER VI;
ヹ;30F9;KATAKANA LETTER VE;
ヺ;30FA;KATAKANA LETTER VO;
・;30FB;KATAKANA MIDDLE DOT;
ー;30FC;KATAKANA-HIRAGANA PROLONGED SOUND MARK;
ヽ;30FD;KATAKANA ITERATION MARK;
ヾ;30FE;KATAKANA VOICED ITERATION MARK;
ヿ;30FF;KATAKANA DIGRAPH KOTO;
