؀;0600;ARABIC NUMBER SIGN;
ٳ;0673;ARABIC LETTER ALEF WITH WAVY HAMZA BELOW;
ٴ;0674;ARABIC LETTER HIGH HAMZA;
ٵ;0675;ARABIC LETTER HIGH HAMZA ALEF;
ٶ;0676;ARABIC LETTER HIGH HAMZA WAW;
ٷ;0677;ARABIC LETTER U WITH HAMZA ABOVE;
ٸ;0678;ARABIC LETTER HIGH HAMZA YEH;
ٹ;0679;ARABIC LETTER TTEH;
ٺ;067A;ARABIC LETTER TTEHEH;
ٻ;067B;ARABIC LETTER BEEH;
ټ;067C;ARABIC LETTER TEH WITH RING;
ٽ;067D;ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS;
پ;067E;ARABIC LETTER PEH;
ٿ;067F;ARABIC LETTER TEHEH;
ڀ;0680;ARABIC LETTER BEHEH;
ځ;0681;ARABIC LETTER HAH WITH HAMZA ABOVE;
ڂ;0682;ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE;
ڃ;0683;ARABIC LETTER NYEH;
ڄ;0684;ARABIC LETTER DYEH;
څ;0685;ARABIC LETTER HAH WITH THREE DOTS ABOVE;
چ;0686;ARABIC LETTER TCHEH;
ڇ;0687;ARABIC LETTER TCHEHEH;
ڈ;0688;ARABIC LETTER DDAL;
ډ;0689;ARABIC LETTER DAL WITH RING;
ڊ;068A;ARABIC LETTER DAL WITH DOT BELOW;
ڋ;068B;ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH;
ڌ;068C;ARABIC LETTER DAHAL;
ڍ;068D;ARABIC LETTER DDAHAL;
ڎ;068E;ARABIC LETTER DUL;
ڏ;068F;ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS;
ڐ;0690;ARABIC LETTER DAL WITH FOUR DOTS ABOVE;
ڑ;0691;ARABIC LETTER RREH;
ڒ;0692;ARABIC LETTER REH WITH SMALL V;
ړ;0693;ARABIC LETTER REH WITH RING;
ڔ;0694;ARABIC LETTER REH WITH DOT BELOW;
ڕ;0695;ARABIC LETTER REH WITH SMALL V BELOW;
ږ;0696;ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE;
ڗ;0697;ARABIC LETTER REH WITH TWO DOTS ABOVE;
ژ;0698;ARABIC LETTER JEH;
ڙ;0699;ARABIC LETTER REH WITH FOUR DOTS ABOVE;
ښ;069A;ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE;
ڛ;069B;ARABIC LETTER SEEN WITH THREE DOTS BELOW;
ڜ;069C;ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE;
ڝ;069D;ARABIC LETTER SAD WITH TWO DOTS BELOW;
ڞ;069E;ARABIC LETTER SAD WITH THREE DOTS ABOVE;
ڟ;069F;ARABIC LETTER TAH WITH THREE DOTS ABOVE;
ڠ;06A0;ARABIC LETTER AIN WITH THREE DOTS ABOVE;
ڡ;06A1;ARABIC LETTER DOTLESS FEH;
ڢ;06A2;ARABIC LETTER FEH WITH DOT MOVED BELOW;
ڣ;06A3;ARABIC LETTER FEH WITH DOT BELOW;
ڤ;06A4;ARABIC LETTER VEH;
ڥ;06A5;ARABIC LETTER FEH WITH THREE DOTS BELOW;
ڦ;06A6;ARABIC LETTER PEHEH;
ڧ;06A7;ARABIC LETTER QAF WITH DOT ABOVE;
ڨ;06A8;ARABIC LETTER QAF WITH THREE DOTS ABOVE;
ک;06A9;ARABIC LETTER KEHEH;
ڪ;06AA;ARABIC LETTER SWASH KAF;
ګ;06AB;ARABIC LETTER KAF WITH RING;
ڬ;06AC;ARABIC LETTER KAF WITH DOT ABOVE;
ڭ;06AD;ARABIC LETTER NG;
ڮ;06AE;ARABIC LETTER KAF WITH THREE DOTS BELOW;
گ;06AF;ARABIC LETTER GAF;
ڰ;06B0;ARABIC LETTER GAF WITH RING;
ڱ;06B1;ARABIC LETTER NGOEH;
ڲ;06B2;ARABIC LETTER GAF WITH TWO DOTS BELOW;
ڳ;06B3;ARABIC LETTER GUEH;
ڴ;06B4;ARABIC LETTER GAF WITH THREE DOTS ABOVE;
ڵ;06B5;ARABIC LETTER LAM WITH SMALL V;
ڶ;06B6;ARABIC LETTER LAM WITH DOT ABOVE;
ڷ;06B7;ARABIC LETTER LAM WITH THREE DOTS ABOVE;
ڸ;06B8;ARABIC LETTER LAM WITH THREE DOTS BELOW;
ڹ;06B9;ARABIC LETTER NOON WITH DOT BELOW;
ں;06BA;ARABIC LETTER NOON GHUNNA;
ڻ;06BB;ARABIC LETTER RNOON;
ڼ;06BC;ARABIC LETTER NOON WITH RING;
ڽ;06BD;ARABIC LETTER NOON WITH THREE DOTS ABOVE;
ھ;06BE;ARABIC LETTER HEH DOACHASHMEE;
ڿ;06BF;ARABIC LETTER TCHEH WITH DOT ABOVE;
ۀ;06C0;ARABIC LETTER HEH WITH YEH ABOVE;
ہ;06C1;ARABIC LETTER HEH GOAL;
ۂ;06C2;ARABIC LETTER HEH GOAL WITH HAMZA ABOVE;
ۃ;06C3;ARABIC LETTER TEH MARBUTA GOAL;
ۄ;06C4;ARABIC LETTER WAW WITH RING;
ۅ;06C5;ARABIC LETTER KIRGHIZ OE;
ۆ;06C6;ARABIC LETTER OE;
ۇ;06C7;ARABIC LETTER U;
ۈ;06C8;ARABIC LETTER YU;
ۉ;06C9;ARABIC LETTER KIRGHIZ YU;
ۊ;06CA;ARABIC LETTER WAW WITH TWO DOTS ABOVE;
ۋ;06CB;ARABIC LETTER VE;
ی;06CC;ARABIC LETTER FARSI YEH;
ۍ;06CD;ARABIC LETTER YEH WITH TAIL;
ێ;06CE;ARABIC LETTER YEH WITH SMALL V;
ۏ;06CF;ARABIC LETTER WAW WITH DOT ABOVE;
ې;06D0;ARABIC LETTER E;
ۑ;06D1;ARABIC LETTER YEH WITH THREE DOTS BELOW;
ے;06D2;ARABIC LETTER YEH BARREE;
ۓ;06D3;ARABIC LETTER YEH BARREE WITH HAMZA ABOVE;
۔;06D4;ARABIC FULL STOP;
ە;06D5;ARABIC LETTER AE;
ۖ;06D6;ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA;
ۗ;06D7;ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA;
ۘ;06D8;ARABIC SMALL HIGH MEEM INITIAL FORM;
ۙ;06D9;ARABIC SMALL HIGH LAM ALEF;
ۚ;06DA;ARABIC SMALL HIGH JEEM;
ۛ;06DB;ARABIC SMALL HIGH THREE DOTS;
ۜ;06DC;ARABIC SMALL HIGH SEEN;
۝;06DD;ARABIC END OF AYAH;
۞;06DE;ARABIC START OF RUB EL HIZB;
۟;06DF;ARABIC SMALL HIGH ROUNDED ZERO;
۠;06E0;ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO;
ۡ;06E1;ARABIC SMALL HIGH DOTLESS HEAD OF KHAH;
ۢ;06E2;ARABIC SMALL HIGH MEEM ISOLATED FORM;
ۣ;06E3;ARABIC SMALL LOW SEEN;
ۤ;06E4;ARABIC SMALL HIGH MADDA;
ۥ;06E5;ARABIC SMALL WAW;
ۦ;06E6;ARABIC SMALL YEH;
ۧ;06E7;ARABIC SMALL HIGH YEH;
ۨ;06E8;ARABIC SMALL HIGH NOON;
۩;06E9;ARABIC PLACE OF SAJDAH;
۪;06EA;ARABIC EMPTY CENTRE LOW STOP;
۫;06EB;ARABIC EMPTY CENTRE HIGH STOP;
۬;06EC;ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE;
ۭ;06ED;ARABIC SMALL LOW MEEM;
ۮ;06EE;ARABIC LETTER DAL WITH INVERTED V;
ۯ;06EF;ARABIC LETTER REH WITH INVERTED V;
۰;06F0;EXTENDED ARABIC-INDIC DIGIT ZERO;
۱;06F1;EXTENDED ARABIC-INDIC DIGIT ONE;
۲;06F2;EXTENDED ARABIC-INDIC DIGIT TWO;
۳;06F3;EXTENDED ARABIC-INDIC DIGIT THREE;
۴;06F4;EXTENDED ARABIC-INDIC DIGIT FOUR;
۵;06F5;EXTENDED ARABIC-INDIC DIGIT FIVE;
۶;06F6;EXTENDED ARABIC-INDIC DIGIT SIX;
۷;06F7;EXTENDED ARABIC-INDIC DIGIT SEVEN;
۸;06F8;EXTENDED ARABIC-INDIC DIGIT EIGHT;
۹;06F9;EXTENDED ARABIC-INDIC DIGIT NINE;
ۺ;06FA;ARABIC LETTER SHEEN WITH DOT BELOW;
ۻ;06FB;ARABIC LETTER DAD WITH DOT BELOW;
ۼ;06FC;ARABIC LETTER GHAIN WITH DOT BELOW;
۽;06FD;ARABIC SIGN SINDHI AMPERSAND;
۾;06FE;ARABIC SIGN SINDHI POSTPOSITION MEN;
ۿ;06FF;ARABIC LETTER HEH WITH INVERTED V;
ݐ;0750;ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW;
ݑ;0751;ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE;
ݒ;0752;ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW;
ݓ;0753;ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW AND TWO DOTS ABOVE;
ݔ;0754;ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE;
ݕ;0755;ARABIC LETTER BEH WITH INVERTED SMALL V BELOW;
ݖ;0756;ARABIC LETTER BEH WITH SMALL V;
ݗ;0757;ARABIC LETTER HAH WITH TWO DOTS ABOVE;
ݘ;0758;ARABIC LETTER HAH WITH THREE DOTS POINTING UPWARDS BELOW;
ݙ;0759;ARABIC LETTER DAL WITH TWO DOTS VERTICALLY BELOW AND SMALL TAH;
ݚ;075A;ARABIC LETTER DAL WITH INVERTED SMALL V BELOW;
ݛ;075B;ARABIC LETTER REH WITH STROKE;
ݜ;075C;ARABIC LETTER SEEN WITH FOUR DOTS ABOVE;
ݝ;075D;ARABIC LETTER AIN WITH TWO DOTS ABOVE;
ݞ;075E;ARABIC LETTER AIN WITH THREE DOTS POINTING DOWNWARDS ABOVE;
ݟ;075F;ARABIC LETTER AIN WITH TWO DOTS VERTICALLY ABOVE;
ݠ;0760;ARABIC LETTER FEH WITH TWO DOTS BELOW;
ݡ;0761;ARABIC LETTER FEH WITH THREE DOTS POINTING UPWARDS BELOW;
ݢ;0762;ARABIC LETTER KEHEH WITH DOT ABOVE;
ݣ;0763;ARABIC LETTER KEHEH WITH THREE DOTS ABOVE;
ݤ;0764;ARABIC LETTER KEHEH WITH THREE DOTS POINTING UPWARDS BELOW;
ݥ;0765;ARABIC LETTER MEEM WITH DOT ABOVE;
ݦ;0766;ARABIC LETTER MEEM WITH DOT BELOW;
ݧ;0767;ARABIC LETTER NOON WITH TWO DOTS BELOW;
ݨ;0768;ARABIC LETTER NOON WITH SMALL TAH;
ݩ;0769;ARABIC LETTER NOON WITH SMALL V;
ݪ;076A;ARABIC LETTER LAM WITH BAR;
ݫ;076B;ARABIC LETTER REH WITH TWO DOTS VERTICALLY ABOVE;
ݬ;076C;ARABIC LETTER REH WITH HAMZA ABOVE;
ݭ;076D;ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE;
ݮ;076E;ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH BELOW;
ݯ;076F;ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS;
ݰ;0770;ARABIC LETTER SEEN WITH SMALL ARABIC LETTER TAH AND TWO DOTS;
ݱ;0771;ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS;
ݲ;0772;ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH ABOVE;
ݳ;0773;ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE;
ݴ;0774;ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE;
ݵ;0775;ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE;
ݶ;0776;ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE;
ݷ;0777;ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW;
ݸ;0778;ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE;
ݹ;0779;ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE;
ݺ;077A;ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE;
ݻ;077B;ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE;
ݼ;077C;ARABIC LETTER HAH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW;
ݽ;077D;ARABIC LETTER SEEN WITH EXTENDED ARABIC-INDIC DIGIT FOUR ABOVE;
ݾ;077E;ARABIC LETTER SEEN WITH INVERTED V;
ݿ;077F;ARABIC LETTER KAF WITH TWO DOTS ABOVE;
