⅐;2150;VULGAR FRACTION ONE SEVENTH;
⊝;229D;CIRCLED DASH;
⊞;229E;SQUARED PLUS;
⊟;229F;SQUARED MINUS;
⊠;22A0;SQUARED TIMES;
⊡;22A1;SQUARED DOT OPERATOR;
⊢;22A2;RIGHT TACK;
⊣;22A3;LEFT TACK;
⊤;22A4;DOWN TACK;
⊥;22A5;UP TACK;
⊦;22A6;ASSERTION;
⊧;22A7;MODELS;
⊨;22A8;TRUE;
⊩;22A9;FORCES;
⊪;22AA;TRIPLE VERTICAL BAR RIGHT TURNSTILE;
⊫;22AB;DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE;
⊬;22AC;DOES NOT PROVE;
⊭;22AD;NOT TRUE;
⊮;22AE;DOES NOT FORCE;
⊯;22AF;NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE;
⊰;22B0;PRECEDES UNDER RELATION;
⊱;22B1;SUCCEEDS UNDER RELATION;
⊲;22B2;NORMAL SUBGROUP OF;
⊳;22B3;CONTAINS AS NORMAL SUBGROUP;
⊴;22B4;NORMAL SUBGROUP OF OR EQUAL TO;
⊵;22B5;CONTAINS AS NORMAL SUBGROUP OR EQUAL TO;
⊶;22B6;ORIGINAL OF;
⊷;22B7;IMAGE OF;
⊸;22B8;MULTIMAP;
⊹;22B9;HERMITIAN CONJUGATE MATRIX;
⊺;22BA;INTERCALATE;
⊻;22BB;XOR;
⊼;22BC;NAND;
⊽;22BD;NOR;
⊾;22BE;RIGHT ANGLE WITH ARC;
⊿;22BF;RIGHT TRIANGLE;
⋀;22C0;N-ARY LOGICAL AND;
⋁;22C1;N-ARY LOGICAL OR;
⋂;22C2;N-ARY INTERSECTION;
⋃;22C3;N-ARY UNION;
⋄;22C4;DIAMOND OPERATOR;
⋅;22C5;DOT OPERATOR;
⋆;22C6;STAR OPERATOR;
⋇;22C7;DIVISION TIMES;
⋈;22C8;BOWTIE;
⋉;22C9;LEFT NORMAL FACTOR SEMIDIRECT PRODUCT;
⋊;22CA;RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT;
⋋;22CB;LEFT SEMIDIRECT PRODUCT;
⋌;22CC;RIGHT SEMIDIRECT PRODUCT;
⋍;22CD;REVERSED TILDE EQUALS;
⋎;22CE;CURLY LOGICAL OR;
⋏;22CF;CURLY LOGICAL AND;
⋐;22D0;DOUBLE SUBSET;
⋑;22D1;DOUBLE SUPERSET;
⋒;22D2;DOUBLE INTERSECTION;
⋓;22D3;DOUBLE UNION;
⋔;22D4;PITCHFORK;
⋕;22D5;EQUAL AND PARALLEL TO;
⋖;22D6;LESS-THAN WITH DOT;
⋗;22D7;GREATER-THAN WITH DOT;
⋘;22D8;VERY MUCH LESS-THAN;
⋙;22D9;VERY MUCH GREATER-THAN;
⋚;22DA;LESS-THAN EQUAL TO OR GREATER-THAN;
⋛;22DB;GREATER-THAN EQUAL TO OR LESS-THAN;
⋜;22DC;EQUAL TO OR LESS-THAN;
⋝;22DD;EQUAL TO OR GREATER-THAN;
⋞;22DE;EQUAL TO OR PRECEDES;
⋟;22DF;EQUAL TO OR SUCCEEDS;
⋠;22E0;DOES NOT PRECEDE OR EQUAL;
⋡;22E1;DOES NOT SUCCEED OR EQUAL;
⋢;22E2;NOT SQUARE IMAGE OF OR EQUAL TO;
⋣;22E3;NOT SQUARE ORIGINAL OF OR EQUAL TO;
⋤;22E4;SQUARE IMAGE OF OR NOT EQUAL TO;
⋥;22E5;SQUARE ORIGINAL OF OR NOT EQUAL TO;
⋦;22E6;LESS-THAN BUT NOT EQUIVALENT TO;
⋧;22E7;GREATER-THAN BUT NOT EQUIVALENT TO;
⋨;22E8;PRECEDES BUT NOT EQUIVALENT TO;
⋩;22E9;SUCCEEDS BUT NOT EQUIVALENT TO;
⋪;22EA;NOT NORMAL SUBGROUP OF;
⋫;22EB;DOES NOT CONTAIN AS NORMAL SUBGROUP;
⋬;22EC;NOT NORMAL SUBGROUP OF OR EQUAL TO;
⋭;22ED;DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL;
⋮;22EE;VERTICAL ELLIPSIS;
⋯;22EF;MIDLINE HORIZONTAL ELLIPSIS;
⋰;22F0;UP RIGHT DIAGONAL ELLIPSIS;
⋱;22F1;DOWN RIGHT DIAGONAL ELLIPSIS;
⋲;22F2;ELEMENT OF WITH LONG HORIZONTAL STROKE;
⋳;22F3;ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE;
⋴;22F4;SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE;
⋵;22F5;ELEMENT OF WITH DOT ABOVE;
⋶;22F6;ELEMENT OF WITH OVERBAR;
⋷;22F7;SMALL ELEMENT OF WITH OVERBAR;
⋸;22F8;ELEMENT OF WITH UNDERBAR;
⋹;22F9;ELEMENT OF WITH TWO HORIZONTAL STROKES;
⋺;22FA;CONTAINS WITH LONG HORIZONTAL STROKE;
⋻;22FB;CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE;
⋼;22FC;SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE;
⋽;22FD;CONTAINS WITH OVERBAR;
⋾;22FE;SMALL CONTAINS WITH OVERBAR;
⋿;22FF;Z NOTATION BAG MEMBERSHIP;
⟀;27C0;THREE DIMENSIONAL ANGLE;
⟁;27C1;WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE;
⟂;27C2;PERPENDICULAR;
⟃;27C3;OPEN SUBSET;
⟄;27C4;OPEN SUPERSET;
⟅;27C5;LEFT S-SHAPED BAG DELIMITER;
⟆;27C6;RIGHT S-SHAPED BAG DELIMITER;
⟇;27C7;OR WITH DOT INSIDE;
⟈;27C8;REVERSE SOLIDUS PRECEDING SUBSET;
⟉;27C9;SUPERSET PRECEDING SOLIDUS;
⟊;27CA;VERTICAL BAR WITH HORIZONTAL STROKE;
⟋;27CB;MATHEMATICAL RISING DIAGONAL;
⟌;27CC;LONG DIVISION;
⟍;27CD;MATHEMATICAL FALLING DIAGONAL;
⟎;27CE;SQUARED LOGICAL AND;
⟏;27CF;SQUARED LOGICAL OR;
⟐;27D0;WHITE DIAMOND WITH CENTRED DOT;
⟑;27D1;AND WITH DOT;
⟒;27D2;ELEMENT OF OPENING UPWARDS;
⟓;27D3;LOWER RIGHT CORNER WITH DOT;
⟔;27D4;UPPER LEFT CORNER WITH DOT;
⟕;27D5;LEFT OUTER JOIN;
⟖;27D6;RIGHT OUTER JOIN;
⟗;27D7;FULL OUTER JOIN;
⟘;27D8;LARGE UP TACK;
⟙;27D9;LARGE DOWN TACK;
⟚;27DA;LEFT AND RIGHT DOUBLE TURNSTILE;
⟛;27DB;LEFT AND RIGHT TACK;
⟜;27DC;LEFT MULTIMAP;
⟝;27DD;LONG RIGHT TACK;
⟞;27DE;LONG LEFT TACK;
⟟;27DF;UP TACK WITH CIRCLE ABOVE;
⟠;27E0;LOZENGE DIVIDED BY HORIZONTAL RULE;
⟡;27E1;WHITE CONCAVE-SIDED DIAMOND;
⟢;27E2;WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK;
⟣;27E3;WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK;
⟤;27E4;WHITE SQUARE WITH LEFTWARDS TICK;
⟥;27E5;WHITE SQUARE WITH RIGHTWARDS TICK;
⟦;27E6;MATHEMATICAL LEFT WHITE SQUARE BRACKET;
⟧;27E7;MATHEMATICAL RIGHT WHITE SQUARE BRACKET;
⟨;27E8;MATHEMATICAL LEFT ANGLE BRACKET;
⟩;27E9;MATHEMATICAL RIGHT ANGLE BRACKET;
⟪;27EA;MATHEMATICAL LEFT DOUBLE ANGLE BRACKET;
⟫;27EB;MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET;
⟬;27EC;MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET;
⟭;27ED;MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET;
⟮;27EE;MATHEMATICAL LEFT FLATTENED PARENTHESIS;
⟯;27EF;MATHEMATICAL RIGHT FLATTENED PARENTHESIS;
⦀;2980;TRIPLE VERTICAL BAR DELIMITER;
⦁;2981;Z NOTATION SPOT;
⦂;2982;Z NOTATION TYPE COLON;
⦃;2983;LEFT WHITE CURLY BRACKET;
⦄;2984;RIGHT WHITE CURLY BRACKET;
⦅;2985;LEFT WHITE PARENTHESIS;
⦆;2986;RIGHT WHITE PARENTHESIS;
⦇;2987;Z NOTATION LEFT IMAGE BRACKET;
⦈;2988;Z NOTATION RIGHT IMAGE BRACKET;
⦉;2989;Z NOTATION LEFT BINDING BRACKET;
⦊;298A;Z NOTATION RIGHT BINDING BRACKET;
⦋;298B;LEFT SQUARE BRACKET WITH UNDERBAR;
⦌;298C;RIGHT SQUARE BRACKET WITH UNDERBAR;
⦍;298D;LEFT SQUARE BRACKET WITH TICK IN TOP CORNER;
⦎;298E;RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER;
⦏;298F;LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER;
⦐;2990;RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER;
⦑;2991;LEFT ANGLE BRACKET WITH DOT;
⦒;2992;RIGHT ANGLE BRACKET WITH DOT;
⦓;2993;LEFT ARC LESS-THAN BRACKET;
⦔;2994;RIGHT ARC GREATER-THAN BRACKET;
⦕;2995;DOUBLE LEFT ARC GREATER-THAN BRACKET;
⦖;2996;DOUBLE RIGHT ARC LESS-THAN BRACKET;
⦗;2997;LEFT BLACK TORTOISE SHELL BRACKET;
⦘;2998;RIGHT BLACK TORTOISE SHELL BRACKET;
⦙;2999;DOTTED FENCE;
⦚;299A;VERTICAL ZIGZAG LINE;
⦛;299B;MEASURED ANGLE OPENING LEFT;
⦜;299C;RIGHT ANGLE VARIANT WITH SQUARE;
⦝;299D;MEASURED RIGHT ANGLE WITH DOT;
⦞;299E;ANGLE WITH S INSIDE;
⦟;299F;ACUTE ANGLE;
⦠;29A0;SPHERICAL ANGLE OPENING LEFT;
⦡;29A1;SPHERICAL ANGLE OPENING UP;
⦢;29A2;TURNED ANGLE;
⦣;29A3;REVERSED ANGLE;
⦤;29A4;ANGLE WITH UNDERBAR;
⦥;29A5;REVERSED ANGLE WITH UNDERBAR;
⦦;29A6;OBLIQUE ANGLE OPENING UP;
⦧;29A7;OBLIQUE ANGLE OPENING DOWN;
⦨;29A8;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT;
⦩;29A9;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT;
⦪;29AA;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT;
⦫;29AB;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT;
⦬;29AC;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP;
⦭;29AD;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP;
⦮;29AE;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN;
⦯;29AF;MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN;
⦰;29B0;REVERSED EMPTY SET;
⦱;29B1;EMPTY SET WITH OVERBAR;
⦲;29B2;EMPTY SET WITH SMALL CIRCLE ABOVE;
⦳;29B3;EMPTY SET WITH RIGHT ARROW ABOVE;
⦴;29B4;EMPTY SET WITH LEFT ARROW ABOVE;
⦵;29B5;CIRCLE WITH HORIZONTAL BAR;
⦶;29B6;CIRCLED VERTICAL BAR;
⦷;29B7;CIRCLED PARALLEL;
⦸;29B8;CIRCLED REVERSE SOLIDUS;
⦹;29B9;CIRCLED PERPENDICULAR;
⦺;29BA;CIRCLE DIVIDED BY HORIZONTAL BAR AND TOP HALF DIVIDED BY VERTICAL BAR;
⦻;29BB;CIRCLE WITH SUPERIMPOSED X;
⦼;29BC;CIRCLED ANTICLOCKWISE-ROTATED DIVISION SIGN;
⦽;29BD;UP ARROW THROUGH CIRCLE;
⦾;29BE;CIRCLED WHITE BULLET;
⦿;29BF;CIRCLED BULLET;
⧀;29C0;CIRCLED LESS-THAN;
⧁;29C1;CIRCLED GREATER-THAN;
⧂;29C2;CIRCLE WITH SMALL CIRCLE TO THE RIGHT;
⧃;29C3;CIRCLE WITH TWO HORIZONTAL STROKES TO THE RIGHT;
⧄;29C4;SQUARED RISING DIAGONAL SLASH;
⧅;29C5;SQUARED FALLING DIAGONAL SLASH;
⧆;29C6;SQUARED ASTERISK;
⧇;29C7;SQUARED SMALL CIRCLE;
⧈;29C8;SQUARED SQUARE;
⧉;29C9;TWO JOINED SQUARES;
⧊;29CA;TRIANGLE WITH DOT ABOVE;
⧋;29CB;TRIANGLE WITH UNDERBAR;
⧌;29CC;S IN TRIANGLE;
⧍;29CD;TRIANGLE WITH SERIFS AT BOTTOM;
⧎;29CE;RIGHT TRIANGLE ABOVE LEFT TRIANGLE;
⧏;29CF;LEFT TRIANGLE BESIDE VERTICAL BAR;
⧐;29D0;VERTICAL BAR BESIDE RIGHT TRIANGLE;
⧑;29D1;BOWTIE WITH LEFT HALF BLACK;
⧒;29D2;BOWTIE WITH RIGHT HALF BLACK;
⧓;29D3;BLACK BOWTIE;
⧔;29D4;TIMES WITH LEFT HALF BLACK;
⧕;29D5;TIMES WITH RIGHT HALF BLACK;
⧖;29D6;WHITE HOURGLASS;
⧗;29D7;BLACK HOURGLASS;
⧘;29D8;LEFT WIGGLY FENCE;
⧙;29D9;RIGHT WIGGLY FENCE;
⧚;29DA;LEFT DOUBLE WIGGLY FENCE;
⧛;29DB;RIGHT DOUBLE WIGGLY FENCE;
⧜;29DC;INCOMPLETE INFINITY;
⧝;29DD;TIE OVER INFINITY;
⧞;29DE;INFINITY NEGATED WITH VERTICAL BAR;
⧟;29DF;DOUBLE-ENDED MULTIMAP;
⧠;29E0;SQUARE WITH CONTOURED OUTLINE;
⧡;29E1;INCREASES AS;
⧢;29E2;SHUFFLE PRODUCT;
⧣;29E3;EQUALS SIGN AND SLANTED PARALLEL;
⧤;29E4;EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE;
⧥;29E5;IDENTICAL TO AND SLANTED PARALLEL;
⧦;29E6;GLEICH STARK;
⧧;29E7;THERMODYNAMIC;
⧨;29E8;DOWN-POINTING TRIANGLE WITH LEFT HALF BLACK;
⧩;29E9;DOWN-POINTING TRIANGLE WITH RIGHT HALF BLACK;
⧪;29EA;BLACK DIAMOND WITH DOWN ARROW;
⧫;29EB;BLACK LOZENGE;
⧬;29EC;WHITE CIRCLE WITH DOWN ARROW;
⧭;29ED;BLACK CIRCLE WITH DOWN ARROW;
⧮;29EE;ERROR-BARRED WHITE SQUARE;
⧯;29EF;ERROR-BARRED BLACK SQUARE;
⧰;29F0;ERROR-BARRED WHITE DIAMOND;
⧱;29F1;ERROR-BARRED BLACK DIAMOND;
⧲;29F2;ERROR-BARRED WHITE CIRCLE;
⧳;29F3;ERROR-BARRED BLACK CIRCLE;
⧴;29F4;RULE-DELAYED;
⧵;29F5;REVERSE SOLIDUS OPERATOR;
⧶;29F6;SOLIDUS WITH OVERBAR;
⧷;29F7;REVERSE SOLIDUS WITH HORIZONTAL STROKE;
⧸;29F8;BIG SOLIDUS;
⧹;29F9;BIG REVERSE SOLIDUS;
⧺;29FA;DOUBLE PLUS;
⧻;29FB;TRIPLE PLUS;
⧼;29FC;LEFT-POINTING CURVED ANGLE BRACKET;
⧽;29FD;RIGHT-POINTING CURVED ANGLE BRACKET;
⧾;29FE;TINY;
⧿;29FF;MINY;
⨀;2A00;N-ARY CIRCLED DOT OPERATOR;
⨁;2A01;N-ARY CIRCLED PLUS OPERATOR;
⨂;2A02;N-ARY CIRCLED TIMES OPERATOR;
⨃;2A03;N-ARY UNION OPERATOR WITH DOT;
⨄;2A04;N-ARY UNION OPERATOR WITH PLUS;
⨅;2A05;N-ARY SQUARE INTERSECTION OPERATOR;
⨆;2A06;N-ARY SQUARE UNION OPERATOR;
⨇;2A07;TWO LOGICAL AND OPERATOR;
⨈;2A08;TWO LOGICAL OR OPERATOR;
⨉;2A09;N-ARY TIMES OPERATOR;
⨊;2A0A;MODULO TWO SUM;
⨋;2A0B;SUMMATION WITH INTEGRAL;
⨌;2A0C;QUADRUPLE INTEGRAL OPERATOR;
⨍;2A0D;FINITE PART INTEGRAL;
⨎;2A0E;INTEGRAL WITH DOUBLE STROKE;
⨏;2A0F;INTEGRAL AVERAGE WITH SLASH;
⨐;2A10;CIRCULATION FUNCTION;
⨑;2A11;ANTICLOCKWISE INTEGRATION;
⨒;2A12;LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE;
⨓;2A13;LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE;
⨔;2A14;LINE INTEGRATION NOT INCLUDING THE POLE;
⨕;2A15;INTEGRAL AROUND A POINT OPERATOR;
⨖;2A16;QUATERNION INTEGRAL OPERATOR;
⨗;2A17;INTEGRAL WITH LEFTWARDS ARROW WITH HOOK;
⨘;2A18;INTEGRAL WITH TIMES SIGN;
⨙;2A19;INTEGRAL WITH INTERSECTION;
⨚;2A1A;INTEGRAL WITH UNION;
⨛;2A1B;INTEGRAL WITH OVERBAR;
⨜;2A1C;INTEGRAL WITH UNDERBAR;
⨝;2A1D;JOIN;
⨞;2A1E;LARGE LEFT TRIANGLE OPERATOR;
⨟;2A1F;Z NOTATION SCHEMA COMPOSITION;
⨠;2A20;Z NOTATION SCHEMA PIPING;
⨡;2A21;Z NOTATION SCHEMA PROJECTION;
⨢;2A22;PLUS SIGN WITH SMALL CIRCLE ABOVE;
⨣;2A23;PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE;
