🀰;1F030;DOMINO TILE HORIZONTAL BACK;
🁹;1F079;DOMINO TILE VERTICAL-03-01;
🁺;1F07A;DOMINO TILE VERTICAL-03-02;
🁻;1F07B;DOMINO TILE VERTICAL-03-03;
🁼;1F07C;DOMINO TILE VERTICAL-03-04;
🁽;1F07D;DOMINO TILE VERTICAL-03-05;
🁾;1F07E;DOMINO TILE VERTICAL-03-06;
🁿;1F07F;DOMINO TILE VERTICAL-04-00;
🂀;1F080;DOMINO TILE VERTICAL-04-01;
🂁;1F081;DOMINO TILE VERTICAL-04-02;
🂂;1F082;DOMINO TILE VERTICAL-04-03;
🂃;1F083;DOMINO TILE VERTICAL-04-04;
🂄;1F084;DOMINO TILE VERTICAL-04-05;
🂅;1F085;DOMINO TILE VERTICAL-04-06;
🂆;1F086;DOMINO TILE VERTICAL-05-00;
🂇;1F087;DOMINO TILE VERTICAL-05-01;
🂈;1F088;DOMINO TILE VERTICAL-05-02;
🂉;1F089;DOMINO TILE VERTICAL-05-03;
🂊;1F08A;DOMINO TILE VERTICAL-05-04;
🂋;1F08B;DOMINO TILE VERTICAL-05-05;
🂌;1F08C;DOMINO TILE VERTICAL-05-06;
🂍;1F08D;DOMINO TILE VERTICAL-06-00;
🂎;1F08E;DOMINO TILE VERTICAL-06-01;
🂏;1F08F;DOMINO TILE VERTICAL-06-02;
🂐;1F090;DOMINO TILE VERTICAL-06-03;
🂑;1F091;DOMINO TILE VERTICAL-06-04;
🂒;1F092;DOMINO TILE VERTICAL-06-05;
🂓;1F093;DOMINO TILE VERTICAL-06-06;
🂠;1F0A0;PLAYING CARD BACK;
🂡;1F0A1;PLAYING CARD ACE OF SPADES;
🂢;1F0A2;PLAYING CARD TWO OF SPADES;
🂣;1F0A3;PLAYING CARD THREE OF SPADES;
🂤;1F0A4;PLAYING CARD FOUR OF SPADES;
🂥;1F0A5;PLAYING CARD FIVE OF SPADES;
🂦;1F0A6;PLAYING CARD SIX OF SPADES;
🂧;1F0A7;PLAYING CARD SEVEN OF SPADES;
🂨;1F0A8;PLAYING CARD EIGHT OF SPADES;
🂩;1F0A9;PLAYING CARD NINE OF SPADES;
🂪;1F0AA;PLAYING CARD TEN OF SPADES;
🂫;1F0AB;PLAYING CARD JACK OF SPADES;
🂬;1F0AC;PLAYING CARD KNIGHT OF SPADES;
🂭;1F0AD;PLAYING CARD QUEEN OF SPADES;
🂮;1F0AE;PLAYING CARD KING OF SPADES;
🂱;1F0B1;PLAYING CARD ACE OF HEARTS;
🂲;1F0B2;PLAYING CARD TWO OF HEARTS;
🂳;1F0B3;PLAYING CARD THREE OF HEARTS;
🂴;1F0B4;PLAYING CARD FOUR OF HEARTS;
🂵;1F0B5;PLAYING CARD FIVE OF HEARTS;
🂶;1F0B6;PLAYING CARD SIX OF HEARTS;
🂷;1F0B7;PLAYING CARD SEVEN OF HEARTS;
🂸;1F0B8;PLAYING CARD EIGHT OF HEARTS;
🂹;1F0B9;PLAYING CARD NINE OF HEARTS;
🂺;1F0BA;PLAYING CARD TEN OF HEARTS;
🂻;1F0BB;PLAYING CARD JACK OF HEARTS;
🂼;1F0BC;PLAYING CARD KNIGHT OF HEARTS;
🂽;1F0BD;PLAYING CARD QUEEN OF HEARTS;
🂾;1F0BE;PLAYING CARD KING OF HEARTS;
🃁;1F0C1;PLAYING CARD ACE OF DIAMONDS;
🃂;1F0C2;PLAYING CARD TWO OF DIAMONDS;
🃃;1F0C3;PLAYING CARD THREE OF DIAMONDS;
🃄;1F0C4;PLAYING CARD FOUR OF DIAMONDS;
🃅;1F0C5;PLAYING CARD FIVE OF DIAMONDS;
🃆;1F0C6;PLAYING CARD SIX OF DIAMONDS;
🃇;1F0C7;PLAYING CARD SEVEN OF DIAMONDS;
🃈;1F0C8;PLAYING CARD EIGHT OF DIAMONDS;
🃉;1F0C9;PLAYING CARD NINE OF DIAMONDS;
🃊;1F0CA;PLAYING CARD TEN OF DIAMONDS;
🃋;1F0CB;PLAYING CARD JACK OF DIAMONDS;
🃌;1F0CC;PLAYING CARD KNIGHT OF DIAMONDS;
🃍;1F0CD;PLAYING CARD QUEEN OF DIAMONDS;
🃎;1F0CE;PLAYING CARD KING OF DIAMONDS;
🃏;1F0CF;PLAYING CARD BLACK JOKER;
🃑;1F0D1;PLAYING CARD ACE OF CLUBS;
🃒;1F0D2;PLAYING CARD TWO OF CLUBS;
🃓;1F0D3;PLAYING CARD THREE OF CLUBS;
🃔;1F0D4;PLAYING CARD FOUR OF CLUBS;
🃕;1F0D5;PLAYING CARD FIVE OF CLUBS;
🃖;1F0D6;PLAYING CARD SIX OF CLUBS;
🃗;1F0D7;PLAYING CARD SEVEN OF CLUBS;
🃘;1F0D8;PLAYING CARD EIGHT OF CLUBS;
🃙;1F0D9;PLAYING CARD NINE OF CLUBS;
🃚;1F0DA;PLAYING CARD TEN OF CLUBS;
🃛;1F0DB;PLAYING CARD JACK OF CLUBS;
🃜;1F0DC;PLAYING CARD KNIGHT OF CLUBS;
🃝;1F0DD;PLAYING CARD QUEEN OF CLUBS;
🃞;1F0DE;PLAYING CARD KING OF CLUBS;
🃟;1F0DF;PLAYING CARD WHITE JOKER;
