𒀀;12000;CUNEIFORM SIGN A;
𒀿;1203F;CUNEIFORM SIGN ASHGAB;
𒁀;12040;CUNEIFORM SIGN BA;
𒁁;12041;CUNEIFORM SIGN BAD;
𒁂;12042;CUNEIFORM SIGN BAG3;
𒁃;12043;CUNEIFORM SIGN BAHAR2;
𒁄;12044;CUNEIFORM SIGN BAL;
𒁅;12045;CUNEIFORM SIGN BAL OVER BAL;
𒁆;12046;CUNEIFORM SIGN BALAG;
𒁇;12047;CUNEIFORM SIGN BAR;
𒁈;12048;CUNEIFORM SIGN BARA2;
𒁉;12049;CUNEIFORM SIGN BI;
𒁊;1204A;CUNEIFORM SIGN BI TIMES A;
𒁋;1204B;CUNEIFORM SIGN BI TIMES GAR;
𒁌;1204C;CUNEIFORM SIGN BI TIMES IGI GUNU;
𒁍;1204D;CUNEIFORM SIGN BU;
𒁎;1204E;CUNEIFORM SIGN BU OVER BU AB;
𒁏;1204F;CUNEIFORM SIGN BU OVER BU UN;
𒁐;12050;CUNEIFORM SIGN BU CROSSING BU;
𒁑;12051;CUNEIFORM SIGN BULUG;
𒁒;12052;CUNEIFORM SIGN BULUG OVER BULUG;
𒁓;12053;CUNEIFORM SIGN BUR;
𒁔;12054;CUNEIFORM SIGN BUR2;
𒁕;12055;CUNEIFORM SIGN DA;
𒁖;12056;CUNEIFORM SIGN DAG;
𒁗;12057;CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH;
𒁘;12058;CUNEIFORM SIGN DAG KISIM5 TIMES AMAR;
𒁙;12059;CUNEIFORM SIGN DAG KISIM5 TIMES BALAG;
𒁚;1205A;CUNEIFORM SIGN DAG KISIM5 TIMES BI;
𒁛;1205B;CUNEIFORM SIGN DAG KISIM5 TIMES GA;
𒁜;1205C;CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH;
𒁝;1205D;CUNEIFORM SIGN DAG KISIM5 TIMES GI;
𒁞;1205E;CUNEIFORM SIGN DAG KISIM5 TIMES GIR2;
𒁟;1205F;CUNEIFORM SIGN DAG KISIM5 TIMES GUD;
𒁠;12060;CUNEIFORM SIGN DAG KISIM5 TIMES HA;
𒁡;12061;CUNEIFORM SIGN DAG KISIM5 TIMES IR;
𒁢;12062;CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU;
𒁣;12063;CUNEIFORM SIGN DAG KISIM5 TIMES KAK;
𒁤;12064;CUNEIFORM SIGN DAG KISIM5 TIMES LA;
𒁥;12065;CUNEIFORM SIGN DAG KISIM5 TIMES LU;
𒁦;12066;CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2;
𒁧;12067;CUNEIFORM SIGN DAG KISIM5 TIMES LUM;
𒁨;12068;CUNEIFORM SIGN DAG KISIM5 TIMES NE;
𒁩;12069;CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP;
𒁪;1206A;CUNEIFORM SIGN DAG KISIM5 TIMES SI;
𒁫;1206B;CUNEIFORM SIGN DAG KISIM5 TIMES TAK4;
𒁬;1206C;CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2;
𒁭;1206D;CUNEIFORM SIGN DAG KISIM5 TIMES USH;
𒁮;1206E;CUNEIFORM SIGN DAM;
𒁯;1206F;CUNEIFORM SIGN DAR;
𒁰;12070;CUNEIFORM SIGN DARA3;
𒁱;12071;CUNEIFORM SIGN DARA4;
𒁲;12072;CUNEIFORM SIGN DI;
𒁳;12073;CUNEIFORM SIGN DIB;
𒁴;12074;CUNEIFORM SIGN DIM;
𒁵;12075;CUNEIFORM SIGN DIM TIMES SHE;
𒁶;12076;CUNEIFORM SIGN DIM2;
𒁷;12077;CUNEIFORM SIGN DIN;
𒁸;12078;CUNEIFORM SIGN DIN KASKAL U GUNU DISH;
𒁹;12079;CUNEIFORM SIGN DISH;
𒁺;1207A;CUNEIFORM SIGN DU;
𒁻;1207B;CUNEIFORM SIGN DU OVER DU;
𒁼;1207C;CUNEIFORM SIGN DU GUNU;
𒁽;1207D;CUNEIFORM SIGN DU SHESHIG;
𒁾;1207E;CUNEIFORM SIGN DUB;
𒁿;1207F;CUNEIFORM SIGN DUB TIMES ESH2;
𒂀;12080;CUNEIFORM SIGN DUB2;
𒂁;12081;CUNEIFORM SIGN DUG;
𒂂;12082;CUNEIFORM SIGN DUGUD;
𒂃;12083;CUNEIFORM SIGN DUH;
𒂄;12084;CUNEIFORM SIGN DUN;
𒂅;12085;CUNEIFORM SIGN DUN3;
𒂆;12086;CUNEIFORM SIGN DUN3 GUNU;
𒂇;12087;CUNEIFORM SIGN DUN3 GUNU GUNU;
𒂈;12088;CUNEIFORM SIGN DUN4;
𒂉;12089;CUNEIFORM SIGN DUR2;
𒂊;1208A;CUNEIFORM SIGN E;
𒂋;1208B;CUNEIFORM SIGN E TIMES PAP;
𒂌;1208C;CUNEIFORM SIGN E OVER E NUN OVER NUN;
𒂍;1208D;CUNEIFORM SIGN E2;
𒂎;1208E;CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA;
𒂏;1208F;CUNEIFORM SIGN E2 TIMES GAR;
𒂐;12090;CUNEIFORM SIGN E2 TIMES MI;
𒂑;12091;CUNEIFORM SIGN E2 TIMES SAL;
𒂒;12092;CUNEIFORM SIGN E2 TIMES SHE;
𒂓;12093;CUNEIFORM SIGN E2 TIMES U;
𒂔;12094;CUNEIFORM SIGN EDIN;
𒂕;12095;CUNEIFORM SIGN EGIR;
𒂖;12096;CUNEIFORM SIGN EL;
𒂗;12097;CUNEIFORM SIGN EN;
𒂘;12098;CUNEIFORM SIGN EN TIMES GAN2;
𒂙;12099;CUNEIFORM SIGN EN TIMES GAN2 TENU;
𒂚;1209A;CUNEIFORM SIGN EN TIMES ME;
𒂛;1209B;CUNEIFORM SIGN EN CROSSING EN;
𒂜;1209C;CUNEIFORM SIGN EN OPPOSING EN;
𒂝;1209D;CUNEIFORM SIGN EN SQUARED;
𒂞;1209E;CUNEIFORM SIGN EREN;
𒂟;1209F;CUNEIFORM SIGN ERIN2;
𒂠;120A0;CUNEIFORM SIGN ESH2;
𒂡;120A1;CUNEIFORM SIGN EZEN;
𒂢;120A2;CUNEIFORM SIGN EZEN TIMES A;
𒂣;120A3;CUNEIFORM SIGN EZEN TIMES A PLUS LAL;
𒂤;120A4;CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL;
𒂥;120A5;CUNEIFORM SIGN EZEN TIMES AN;
𒂦;120A6;CUNEIFORM SIGN EZEN TIMES BAD;
𒂧;120A7;CUNEIFORM SIGN EZEN TIMES DUN3 GUNU;
𒂨;120A8;CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU;
𒂩;120A9;CUNEIFORM SIGN EZEN TIMES HA;
𒂪;120AA;CUNEIFORM SIGN EZEN TIMES HA GUNU;
𒂫;120AB;CUNEIFORM SIGN EZEN TIMES IGI GUNU;
𒂬;120AC;CUNEIFORM SIGN EZEN TIMES KASKAL;
𒂭;120AD;CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED;
𒂮;120AE;CUNEIFORM SIGN EZEN TIMES KU3;
𒂯;120AF;CUNEIFORM SIGN EZEN TIMES LA;
𒂰;120B0;CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL;
𒂱;120B1;CUNEIFORM SIGN EZEN TIMES LI;
𒂲;120B2;CUNEIFORM SIGN EZEN TIMES LU;
𒂳;120B3;CUNEIFORM SIGN EZEN TIMES U2;
𒂴;120B4;CUNEIFORM SIGN EZEN TIMES UD;
𒂵;120B5;CUNEIFORM SIGN GA;
𒂶;120B6;CUNEIFORM SIGN GA GUNU;
𒂷;120B7;CUNEIFORM SIGN GA2;
𒂸;120B8;CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA;
𒂹;120B9;CUNEIFORM SIGN GA2 TIMES A PLUS HA;
𒂺;120BA;CUNEIFORM SIGN GA2 TIMES A PLUS IGI;
𒂻;120BB;CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB;
𒂼;120BC;CUNEIFORM SIGN GA2 TIMES AN;
𒂽;120BD;CUNEIFORM SIGN GA2 TIMES ASH;
𒂾;120BE;CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL;
𒂿;120BF;CUNEIFORM SIGN GA2 TIMES BAD;
𒃀;120C0;CUNEIFORM SIGN GA2 TIMES BAR PLUS RA;
𒃁;120C1;CUNEIFORM SIGN GA2 TIMES BUR;
𒃂;120C2;CUNEIFORM SIGN GA2 TIMES BUR PLUS RA;
𒃃;120C3;CUNEIFORM SIGN GA2 TIMES DA;
𒃄;120C4;CUNEIFORM SIGN GA2 TIMES DI;
𒃅;120C5;CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE;
𒃆;120C6;CUNEIFORM SIGN GA2 TIMES DUB;
𒃇;120C7;CUNEIFORM SIGN GA2 TIMES EL;
𒃈;120C8;CUNEIFORM SIGN GA2 TIMES EL PLUS LA;
𒃉;120C9;CUNEIFORM SIGN GA2 TIMES EN;
𒃊;120CA;CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU;
𒃋;120CB;CUNEIFORM SIGN GA2 TIMES GAN2 TENU;
𒃌;120CC;CUNEIFORM SIGN GA2 TIMES GAR;
𒃍;120CD;CUNEIFORM SIGN GA2 TIMES GI;
𒃎;120CE;CUNEIFORM SIGN GA2 TIMES GI4;
𒃏;120CF;CUNEIFORM SIGN GA2 TIMES GI4 PLUS A;
𒃐;120D0;CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU;
𒃑;120D1;CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2;
𒃒;120D2;CUNEIFORM SIGN GA2 TIMES HAL;
𒃓;120D3;CUNEIFORM SIGN GA2 TIMES HAL PLUS LA;
𒃔;120D4;CUNEIFORM SIGN GA2 TIMES HI PLUS LI;
𒃕;120D5;CUNEIFORM SIGN GA2 TIMES HUB2;
𒃖;120D6;CUNEIFORM SIGN GA2 TIMES IGI GUNU;
𒃗;120D7;CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH;
𒃘;120D8;CUNEIFORM SIGN GA2 TIMES KAK;
𒃙;120D9;CUNEIFORM SIGN GA2 TIMES KASKAL;
𒃚;120DA;CUNEIFORM SIGN GA2 TIMES KID;
𒃛;120DB;CUNEIFORM SIGN GA2 TIMES KID PLUS LAL;
𒃜;120DC;CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN;
𒃝;120DD;CUNEIFORM SIGN GA2 TIMES LA;
𒃞;120DE;CUNEIFORM SIGN GA2 TIMES ME PLUS EN;
𒃟;120DF;CUNEIFORM SIGN GA2 TIMES MI;
𒃠;120E0;CUNEIFORM SIGN GA2 TIMES NUN;
𒃡;120E1;CUNEIFORM SIGN GA2 TIMES NUN OVER NUN;
𒃢;120E2;CUNEIFORM SIGN GA2 TIMES PA;
𒃣;120E3;CUNEIFORM SIGN GA2 TIMES SAL;
𒃤;120E4;CUNEIFORM SIGN GA2 TIMES SAR;
𒃥;120E5;CUNEIFORM SIGN GA2 TIMES SHE;
𒃦;120E6;CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR;
𒃧;120E7;CUNEIFORM SIGN GA2 TIMES SHID;
𒃨;120E8;CUNEIFORM SIGN GA2 TIMES SUM;
𒃩;120E9;CUNEIFORM SIGN GA2 TIMES TAK4;
𒃪;120EA;CUNEIFORM SIGN GA2 TIMES U;
𒃫;120EB;CUNEIFORM SIGN GA2 TIMES UD;
𒃬;120EC;CUNEIFORM SIGN GA2 TIMES UD PLUS DU;
𒃭;120ED;CUNEIFORM SIGN GA2 OVER GA2;
𒃮;120EE;CUNEIFORM SIGN GABA;
𒃯;120EF;CUNEIFORM SIGN GABA CROSSING GABA;
𒃰;120F0;CUNEIFORM SIGN GAD;
𒃱;120F1;CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR;
𒃲;120F2;CUNEIFORM SIGN GAL;
𒃳;120F3;CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR;
𒃴;120F4;CUNEIFORM SIGN GALAM;
𒃵;120F5;CUNEIFORM SIGN GAM;
𒃶;120F6;CUNEIFORM SIGN GAN;
𒃷;120F7;CUNEIFORM SIGN GAN2;
𒃸;120F8;CUNEIFORM SIGN GAN2 TENU;
𒃹;120F9;CUNEIFORM SIGN GAN2 OVER GAN2;
𒃺;120FA;CUNEIFORM SIGN GAN2 CROSSING GAN2;
𒃻;120FB;CUNEIFORM SIGN GAR;
𒃼;120FC;CUNEIFORM SIGN GAR3;
𒃽;120FD;CUNEIFORM SIGN GASHAN;
𒃾;120FE;CUNEIFORM SIGN GESHTIN;
𒃿;120FF;CUNEIFORM SIGN GESHTIN TIMES KUR;
𒄀;12100;CUNEIFORM SIGN GI;
𒄁;12101;CUNEIFORM SIGN GI TIMES E;
𒄂;12102;CUNEIFORM SIGN GI TIMES U;
𒄃;12103;CUNEIFORM SIGN GI CROSSING GI;
𒄄;12104;CUNEIFORM SIGN GI4;
𒄅;12105;CUNEIFORM SIGN GI4 OVER GI4;
𒄆;12106;CUNEIFORM SIGN GI4 CROSSING GI4;
𒄇;12107;CUNEIFORM SIGN GIDIM;
𒄈;12108;CUNEIFORM SIGN GIR2;
𒄉;12109;CUNEIFORM SIGN GIR2 GUNU;
𒄊;1210A;CUNEIFORM SIGN GIR3;
𒄋;1210B;CUNEIFORM SIGN GIR3 TIMES A PLUS IGI;
𒄌;1210C;CUNEIFORM SIGN GIR3 TIMES GAN2 TENU;
𒄍;1210D;CUNEIFORM SIGN GIR3 TIMES IGI;
𒄎;1210E;CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI;
𒄏;1210F;CUNEIFORM SIGN GIR3 TIMES PA;
𒄐;12110;CUNEIFORM SIGN GISAL;
𒄑;12111;CUNEIFORM SIGN GISH;
𒄒;12112;CUNEIFORM SIGN GISH CROSSING GISH;
𒄓;12113;CUNEIFORM SIGN GISH TIMES BAD;
𒄔;12114;CUNEIFORM SIGN GISH TIMES TAK4;
𒄕;12115;CUNEIFORM SIGN GISH TENU;
𒄖;12116;CUNEIFORM SIGN GU;
𒄗;12117;CUNEIFORM SIGN GU CROSSING GU;
𒄘;12118;CUNEIFORM SIGN GU2;
𒄙;12119;CUNEIFORM SIGN GU2 TIMES KAK;
𒄚;1211A;CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU;
𒄛;1211B;CUNEIFORM SIGN GU2 TIMES NUN;
𒄜;1211C;CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2;
𒄝;1211D;CUNEIFORM SIGN GU2 GUNU;
𒄞;1211E;CUNEIFORM SIGN GUD;
𒄟;1211F;CUNEIFORM SIGN GUD TIMES A PLUS KUR;
𒄠;12120;CUNEIFORM SIGN GUD TIMES KUR;
𒄡;12121;CUNEIFORM SIGN GUD OVER GUD LUGAL;
𒄢;12122;CUNEIFORM SIGN GUL;
𒄣;12123;CUNEIFORM SIGN GUM;
𒄤;12124;CUNEIFORM SIGN GUM TIMES SHE;
𒄥;12125;CUNEIFORM SIGN GUR;
𒄦;12126;CUNEIFORM SIGN GUR7;
𒄧;12127;CUNEIFORM SIGN GURUN;
𒄨;12128;CUNEIFORM SIGN GURUSH;
𒄩;12129;CUNEIFORM SIGN HA;
𒄪;1212A;CUNEIFORM SIGN HA TENU;
𒄫;1212B;CUNEIFORM SIGN HA GUNU;
𒄬;1212C;CUNEIFORM SIGN HAL;
𒄭;1212D;CUNEIFORM SIGN HI;
𒄮;1212E;CUNEIFORM SIGN HI TIMES ASH;
𒄯;1212F;CUNEIFORM SIGN HI TIMES ASH2;
𒄰;12130;CUNEIFORM SIGN HI TIMES BAD;
𒄱;12131;CUNEIFORM SIGN HI TIMES DISH;
𒄲;12132;CUNEIFORM SIGN HI TIMES GAD;
𒄳;12133;CUNEIFORM SIGN HI TIMES KIN;
𒄴;12134;CUNEIFORM SIGN HI TIMES NUN;
𒄵;12135;CUNEIFORM SIGN HI TIMES SHE;
𒄶;12136;CUNEIFORM SIGN HI TIMES U;
𒄷;12137;CUNEIFORM SIGN HU;
𒄸;12138;CUNEIFORM SIGN HUB2;
𒄹;12139;CUNEIFORM SIGN HUB2 TIMES AN;
𒄺;1213A;CUNEIFORM SIGN HUB2 TIMES HAL;
𒄻;1213B;CUNEIFORM SIGN HUB2 TIMES KASKAL;
𒄼;1213C;CUNEIFORM SIGN HUB2 TIMES LISH;
𒄽;1213D;CUNEIFORM SIGN HUB2 TIMES UD;
𒄾;1213E;CUNEIFORM SIGN HUL2;
𒄿;1213F;CUNEIFORM SIGN I;
𒅀;12140;CUNEIFORM SIGN I A;
𒅁;12141;CUNEIFORM SIGN IB;
𒅂;12142;CUNEIFORM SIGN IDIM;
𒅃;12143;CUNEIFORM SIGN IDIM OVER IDIM BUR;
𒅄;12144;CUNEIFORM SIGN IDIM OVER IDIM SQUARED;
𒅅;12145;CUNEIFORM SIGN IG;
𒅆;12146;CUNEIFORM SIGN IGI;
𒅇;12147;CUNEIFORM SIGN IGI DIB;
𒅈;12148;CUNEIFORM SIGN IGI RI;
𒅉;12149;CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD;
𒅊;1214A;CUNEIFORM SIGN IGI GUNU;
𒅋;1214B;CUNEIFORM SIGN IL;
𒅌;1214C;CUNEIFORM SIGN IL TIMES GAN2 TENU;
𒅍;1214D;CUNEIFORM SIGN IL2;
𒅎;1214E;CUNEIFORM SIGN IM;
𒅏;1214F;CUNEIFORM SIGN IM TIMES TAK4;
𒅐;12150;CUNEIFORM SIGN IM CROSSING IM;
𒅑;12151;CUNEIFORM SIGN IM OPPOSING IM;
𒅒;12152;CUNEIFORM SIGN IM SQUARED;
𒅓;12153;CUNEIFORM SIGN IMIN;
𒅔;12154;CUNEIFORM SIGN IN;
𒅕;12155;CUNEIFORM SIGN IR;
𒅖;12156;CUNEIFORM SIGN ISH;
𒅗;12157;CUNEIFORM SIGN KA;
𒅘;12158;CUNEIFORM SIGN KA TIMES A;
𒅙;12159;CUNEIFORM SIGN KA TIMES AD;
𒅚;1215A;CUNEIFORM SIGN KA TIMES AD PLUS KU3;
𒅛;1215B;CUNEIFORM SIGN KA TIMES ASH2;
𒅜;1215C;CUNEIFORM SIGN KA TIMES BAD;
𒅝;1215D;CUNEIFORM SIGN KA TIMES BALAG;
𒅞;1215E;CUNEIFORM SIGN KA TIMES BAR;
𒅟;1215F;CUNEIFORM SIGN KA TIMES BI;
𒅠;12160;CUNEIFORM SIGN KA TIMES ERIN2;
𒅡;12161;CUNEIFORM SIGN KA TIMES ESH2;
𒅢;12162;CUNEIFORM SIGN KA TIMES GA;
𒅣;12163;CUNEIFORM SIGN KA TIMES GAL;
𒅤;12164;CUNEIFORM SIGN KA TIMES GAN2 TENU;
𒅥;12165;CUNEIFORM SIGN KA TIMES GAR;
𒅦;12166;CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A;
𒅧;12167;CUNEIFORM SIGN KA TIMES GI;
𒅨;12168;CUNEIFORM SIGN KA TIMES GIR2;
𒅩;12169;CUNEIFORM SIGN KA TIMES GISH PLUS SAR;
𒅪;1216A;CUNEIFORM SIGN KA TIMES GISH CROSSING GISH;
𒅫;1216B;CUNEIFORM SIGN KA TIMES GU;
𒅬;1216C;CUNEIFORM SIGN KA TIMES GUR7;
𒅭;1216D;CUNEIFORM SIGN KA TIMES IGI;
𒅮;1216E;CUNEIFORM SIGN KA TIMES IM;
𒅯;1216F;CUNEIFORM SIGN KA TIMES KAK;
𒅰;12170;CUNEIFORM SIGN KA TIMES KI;
𒅱;12171;CUNEIFORM SIGN KA TIMES KID;
𒅲;12172;CUNEIFORM SIGN KA TIMES LI;
𒅳;12173;CUNEIFORM SIGN KA TIMES LU;
𒅴;12174;CUNEIFORM SIGN KA TIMES ME;
𒅵;12175;CUNEIFORM SIGN KA TIMES ME PLUS DU;
𒅶;12176;CUNEIFORM SIGN KA TIMES ME PLUS GI;
𒅷;12177;CUNEIFORM SIGN KA TIMES ME PLUS TE;
𒅸;12178;CUNEIFORM SIGN KA TIMES MI;
𒅹;12179;CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ;
𒅺;1217A;CUNEIFORM SIGN KA TIMES NE;
𒅻;1217B;CUNEIFORM SIGN KA TIMES NUN;
𒅼;1217C;CUNEIFORM SIGN KA TIMES PI;
𒅽;1217D;CUNEIFORM SIGN KA TIMES RU;
𒅾;1217E;CUNEIFORM SIGN KA TIMES SA;
𒅿;1217F;CUNEIFORM SIGN KA TIMES SAR;
𒆀;12180;CUNEIFORM SIGN KA TIMES SHA;
𒆁;12181;CUNEIFORM SIGN KA TIMES SHE;
𒆂;12182;CUNEIFORM SIGN KA TIMES SHID;
𒆃;12183;CUNEIFORM SIGN KA TIMES SHU;
𒆄;12184;CUNEIFORM SIGN KA TIMES SIG;
𒆅;12185;CUNEIFORM SIGN KA TIMES SUHUR;
𒆆;12186;CUNEIFORM SIGN KA TIMES TAR;
𒆇;12187;CUNEIFORM SIGN KA TIMES U;
𒆈;12188;CUNEIFORM SIGN KA TIMES U2;
𒆉;12189;CUNEIFORM SIGN KA TIMES UD;
𒆊;1218A;CUNEIFORM SIGN KA TIMES UMUM TIMES PA;
𒆋;1218B;CUNEIFORM SIGN KA TIMES USH;
𒆌;1218C;CUNEIFORM SIGN KA TIMES ZI;
𒆍;1218D;CUNEIFORM SIGN KA2;
𒆎;1218E;CUNEIFORM SIGN KA2 CROSSING KA2;
𒆏;1218F;CUNEIFORM SIGN KAB;
𒆐;12190;CUNEIFORM SIGN KAD2;
𒆑;12191;CUNEIFORM SIGN KAD3;
𒆒;12192;CUNEIFORM SIGN KAD4;
𒆓;12193;CUNEIFORM SIGN KAD5;
𒆔;12194;CUNEIFORM SIGN KAD5 OVER KAD5;
𒆕;12195;CUNEIFORM SIGN KAK;
𒆖;12196;CUNEIFORM SIGN KAK TIMES IGI GUNU;
𒆗;12197;CUNEIFORM SIGN KAL;
𒆘;12198;CUNEIFORM SIGN KAL TIMES BAD;
𒆙;12199;CUNEIFORM SIGN KAL CROSSING KAL;
𒆚;1219A;CUNEIFORM SIGN KAM2;
𒆛;1219B;CUNEIFORM SIGN KAM4;
𒆜;1219C;CUNEIFORM SIGN KASKAL;
𒆝;1219D;CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U;
𒆞;1219E;CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U;
𒆟;1219F;CUNEIFORM SIGN KESH2;
𒆠;121A0;CUNEIFORM SIGN KI;
𒆡;121A1;CUNEIFORM SIGN KI TIMES BAD;
𒆢;121A2;CUNEIFORM SIGN KI TIMES U;
𒆣;121A3;CUNEIFORM SIGN KI TIMES UD;
𒆤;121A4;CUNEIFORM SIGN KID;
𒆥;121A5;CUNEIFORM SIGN KIN;
𒆦;121A6;CUNEIFORM SIGN KISAL;
𒆧;121A7;CUNEIFORM SIGN KISH;
𒆨;121A8;CUNEIFORM SIGN KISIM5;
𒆩;121A9;CUNEIFORM SIGN KISIM5 OVER KISIM5;
𒆪;121AA;CUNEIFORM SIGN KU;
𒆫;121AB;CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2;
𒆬;121AC;CUNEIFORM SIGN KU3;
𒆭;121AD;CUNEIFORM SIGN KU4;
𒆮;121AE;CUNEIFORM SIGN KU4 VARIANT FORM;
𒆯;121AF;CUNEIFORM SIGN KU7;
𒆰;121B0;CUNEIFORM SIGN KUL;
𒆱;121B1;CUNEIFORM SIGN KUL GUNU;
𒆲;121B2;CUNEIFORM SIGN KUN;
𒆳;121B3;CUNEIFORM SIGN KUR;
