⺀;2E80;CJK RADICAL REPEAT;
⻑;2ED1;CJK RADICAL LONG ONE;
⻒;2ED2;CJK RADICAL LONG TWO;
⻓;2ED3;CJK RADICAL C-SIMPLIFIED LONG;
⻔;2ED4;CJK RADICAL C-SIMPLIFIED GATE;
⻕;2ED5;CJK RADICAL MOUND ONE;
⻖;2ED6;CJK RADICAL MOUND TWO;
⻗;2ED7;CJK RADICAL RAIN;
⻘;2ED8;CJK RADICAL BLUE;
⻙;2ED9;CJK RADICAL C-SIMPLIFIED TANNED LEATHER;
⻚;2EDA;CJK RADICAL C-SIMPLIFIED LEAF;
⻛;2EDB;CJK RADICAL C-SIMPLIFIED WIND;
⻜;2EDC;CJK RADICAL C-SIMPLIFIED FLY;
⻝;2EDD;CJK RADICAL EAT ONE;
⻞;2EDE;CJK RADICAL EAT TWO;
⻟;2EDF;CJK RADICAL EAT THREE;
⻠;2EE0;CJK RADICAL C-SIMPLIFIED EAT;
⻡;2EE1;CJK RADICAL HEAD;
⻢;2EE2;CJK RADICAL C-SIMPLIFIED HORSE;
⻣;2EE3;CJK RADICAL BONE;
⻤;2EE4;CJK RADICAL GHOST;
⻥;2EE5;CJK RADICAL C-SIMPLIFIED FISH;
⻦;2EE6;CJK RADICAL C-SIMPLIFIED BIRD;
⻧;2EE7;CJK RADICAL C-SIMPLIFIED SALT;
⻨;2EE8;CJK RADICAL SIMPLIFIED WHEAT;
⻩;2EE9;CJK RADICAL SIMPLIFIED YELLOW;
⻪;2EEA;CJK RADICAL C-SIMPLIFIED FROG;
⻫;2EEB;CJK RADICAL J-SIMPLIFIED EVEN;
⻬;2EEC;CJK RADICAL C-SIMPLIFIED EVEN;
⻭;2EED;CJK RADICAL J-SIMPLIFIED TOOTH;
⻮;2EEE;CJK RADICAL C-SIMPLIFIED TOOTH;
⻯;2EEF;CJK RADICAL J-SIMPLIFIED DRAGON;
⻰;2EF0;CJK RADICAL C-SIMPLIFIED DRAGON;
⻱;2EF1;CJK RADICAL TURTLE;
⻲;2EF2;CJK RADICAL J-SIMPLIFIED TURTLE;
⻳;2EF3;CJK RADICAL C-SIMPLIFIED TURTLE;
　;3000;IDEOGRAPHIC SPACE;
、;3001;IDEOGRAPHIC COMMA;
。;3002;IDEOGRAPHIC FULL STOP;
〃;3003;DITTO MARK;
〄;3004;JAPANESE INDUSTRIAL STANDARD SYMBOL;
々;3005;IDEOGRAPHIC ITERATION MARK;
〆;3006;IDEOGRAPHIC CLOSING MARK;
〇;3007;IDEOGRAPHIC NUMBER ZERO;
〈;3008;LEFT ANGLE BRACKET;
〉;3009;RIGHT ANGLE BRACKET;
《;300A;LEFT DOUBLE ANGLE BRACKET;
》;300B;RIGHT DOUBLE ANGLE BRACKET;
「;300C;LEFT CORNER BRACKET;
」;300D;RIGHT CORNER BRACKET;
『;300E;LEFT WHITE CORNER BRACKET;
』;300F;RIGHT WHITE CORNER BRACKET;
【;3010;LEFT BLACK LENTICULAR BRACKET;
】;3011;RIGHT BLACK LENTICULAR BRACKET;
〒;3012;POSTAL MARK;
〓;3013;GETA MARK;
〔;3014;LEFT TORTOISE SHELL BRACKET;
〕;3015;RIGHT TORTOISE SHELL BRACKET;
〖;3016;LEFT WHITE LENTICULAR BRACKET;
〗;3017;RIGHT WHITE LENTICULAR BRACKET;
〘;3018;LEFT WHITE TORTOISE SHELL BRACKET;
〙;3019;RIGHT WHITE TORTOISE SHELL BRACKET;
〚;301A;LEFT WHITE SQUARE BRACKET;
〛;301B;RIGHT WHITE SQUARE BRACKET;
〜;301C;WAVE DASH;
〝;301D;REVERSED DOUBLE PRIME QUOTATION MARK;
〞;301E;DOUBLE PRIME QUOTATION MARK;
〟;301F;LOW DOUBLE PRIME QUOTATION MARK;
〠;3020;POSTAL MARK FACE;
〡;3021;HANGZHOU NUMERAL ONE;
〢;3022;HANGZHOU NUMERAL TWO;
〣;3023;HANGZHOU NUMERAL THREE;
〤;3024;HANGZHOU NUMERAL FOUR;
〥;3025;HANGZHOU NUMERAL FIVE;
〦;3026;HANGZHOU NUMERAL SIX;
〧;3027;HANGZHOU NUMERAL SEVEN;
〨;3028;HANGZHOU NUMERAL EIGHT;
〩;3029;HANGZHOU NUMERAL NINE;
〪;302A;IDEOGRAPHIC LEVEL TONE MARK;
〫;302B;IDEOGRAPHIC RISING TONE MARK;
〬;302C;IDEOGRAPHIC DEPARTING TONE MARK;
〭;302D;IDEOGRAPHIC ENTERING TONE MARK;
〮;302E;HANGUL SINGLE DOT TONE MARK;
〯;302F;HANGUL DOUBLE DOT TONE MARK;
〰;3030;WAVY DASH;
〱;3031;VERTICAL KANA REPEAT MARK;
〲;3032;VERTICAL KANA REPEAT WITH VOICED SOUND MARK;
〳;3033;VERTICAL KANA REPEAT MARK UPPER HALF;
〴;3034;VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF;
〵;3035;VERTICAL KANA REPEAT MARK LOWER HALF;
〶;3036;CIRCLED POSTAL MARK;
〷;3037;IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL;
〸;3038;HANGZHOU NUMERAL TEN;
〹;3039;HANGZHOU NUMERAL TWENTY;
〺;303A;HANGZHOU NUMERAL THIRTY;
〻;303B;VERTICAL IDEOGRAPHIC ITERATION MARK;
〼;303C;MASU MARK;
〽;303D;PART ALTERNATION MARK;
〾;303E;IDEOGRAPHIC VARIATION INDICATOR;
〿;303F;IDEOGRAPHIC HALF FILL SPACE;
