‐;2010;HYPHEN;
ₓ;2093;LATIN SUBSCRIPT SMALL LETTER X;
ₔ;2094;LATIN SUBSCRIPT SMALL LETTER SCHWA;
ₕ;2095;LATIN SUBSCRIPT SMALL LETTER H;
ₖ;2096;LATIN SUBSCRIPT SMALL LETTER K;
ₗ;2097;LATIN SUBSCRIPT SMALL LETTER L;
ₘ;2098;LATIN SUBSCRIPT SMALL LETTER M;
ₙ;2099;LATIN SUBSCRIPT SMALL LETTER N;
ₚ;209A;LATIN SUBSCRIPT SMALL LETTER P;
ₛ;209B;LATIN SUBSCRIPT SMALL LETTER S;
ₜ;209C;LATIN SUBSCRIPT SMALL LETTER T;
₠;20A0;EURO-CURRENCY SIGN;
₡;20A1;COLON SIGN;
₢;20A2;CRUZEIRO SIGN;
₣;20A3;FRENCH FRANC SIGN;
₤;20A4;LIRA SIGN;
₥;20A5;MILL SIGN;
₦;20A6;NAIRA SIGN;
₧;20A7;PESETA SIGN;
₨;20A8;RUPEE SIGN;
₩;20A9;WON SIGN;
₪;20AA;NEW SHEQEL SIGN;
₫;20AB;DONG SIGN;
€;20AC;EURO SIGN;
₭;20AD;KIP SIGN;
₮;20AE;TUGRIK SIGN;
₯;20AF;DRACHMA SIGN;
₰;20B0;GERMAN PENNY SIGN;
₱;20B1;PESO SIGN;
₲;20B2;GUARANI SIGN;
₳;20B3;AUSTRAL SIGN;
₴;20B4;HRYVNIA SIGN;
₵;20B5;CEDI SIGN;
₶;20B6;LIVRE TOURNOIS SIGN;
₷;20B7;SPESMILO SIGN;
₸;20B8;TENGE SIGN;
₹;20B9;INDIAN RUPEE SIGN;
₺;20BA;TURKISH LIRA SIGN;
←;2190;LEFTWARDS ARROW;
↑;2191;UPWARDS ARROW;
→;2192;RIGHTWARDS ARROW;
↓;2193;DOWNWARDS ARROW;
↔;2194;LEFT RIGHT ARROW;
↕;2195;UP DOWN ARROW;
↖;2196;NORTH WEST ARROW;
↗;2197;NORTH EAST ARROW;
↘;2198;SOUTH EAST ARROW;
↙;2199;SOUTH WEST ARROW;
↚;219A;LEFTWARDS ARROW WITH STROKE;
↛;219B;RIGHTWARDS ARROW WITH STROKE;
↜;219C;LEFTWARDS WAVE ARROW;
↝;219D;RIGHTWARDS WAVE ARROW;
↞;219E;LEFTWARDS TWO HEADED ARROW;
↟;219F;UPWARDS TWO HEADED ARROW;
↠;21A0;RIGHTWARDS TWO HEADED ARROW;
↡;21A1;DOWNWARDS TWO HEADED ARROW;
↢;21A2;LEFTWARDS ARROW WITH TAIL;
↣;21A3;RIGHTWARDS ARROW WITH TAIL;
↤;21A4;LEFTWARDS ARROW FROM BAR;
↥;21A5;UPWARDS ARROW FROM BAR;
↦;21A6;RIGHTWARDS ARROW FROM BAR;
↧;21A7;DOWNWARDS ARROW FROM BAR;
↨;21A8;UP DOWN ARROW WITH BASE;
↩;21A9;LEFTWARDS ARROW WITH HOOK;
↪;21AA;RIGHTWARDS ARROW WITH HOOK;
↫;21AB;LEFTWARDS ARROW WITH LOOP;
↬;21AC;RIGHTWARDS ARROW WITH LOOP;
↭;21AD;LEFT RIGHT WAVE ARROW;
↮;21AE;LEFT RIGHT ARROW WITH STROKE;
↯;21AF;DOWNWARDS ZIGZAG ARROW;
↰;21B0;UPWARDS ARROW WITH TIP LEFTWARDS;
↱;21B1;UPWARDS ARROW WITH TIP RIGHTWARDS;
↲;21B2;DOWNWARDS ARROW WITH TIP LEFTWARDS;
↳;21B3;DOWNWARDS ARROW WITH TIP RIGHTWARDS;
↴;21B4;RIGHTWARDS ARROW WITH CORNER DOWNWARDS;
↵;21B5;DOWNWARDS ARROW WITH CORNER LEFTWARDS;
↶;21B6;ANTICLOCKWISE TOP SEMICIRCLE ARROW;
↷;21B7;CLOCKWISE TOP SEMICIRCLE ARROW;
↸;21B8;NORTH WEST ARROW TO LONG BAR;
↹;21B9;LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR;
↺;21BA;ANTICLOCKWISE OPEN CIRCLE ARROW;
↻;21BB;CLOCKWISE OPEN CIRCLE ARROW;
↼;21BC;LEFTWARDS HARPOON WITH BARB UPWARDS;
↽;21BD;LEFTWARDS HARPOON WITH BARB DOWNWARDS;
↾;21BE;UPWARDS HARPOON WITH BARB RIGHTWARDS;
↿;21BF;UPWARDS HARPOON WITH BARB LEFTWARDS;
⇀;21C0;RIGHTWARDS HARPOON WITH BARB UPWARDS;
⇁;21C1;RIGHTWARDS HARPOON WITH BARB DOWNWARDS;
⇂;21C2;DOWNWARDS HARPOON WITH BARB RIGHTWARDS;
⇃;21C3;DOWNWARDS HARPOON WITH BARB LEFTWARDS;
⇄;21C4;RIGHTWARDS ARROW OVER LEFTWARDS ARROW;
⇅;21C5;UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW;
⇆;21C6;LEFTWARDS ARROW OVER RIGHTWARDS ARROW;
⇇;21C7;LEFTWARDS PAIRED ARROWS;
⇈;21C8;UPWARDS PAIRED ARROWS;
⇉;21C9;RIGHTWARDS PAIRED ARROWS;
⇊;21CA;DOWNWARDS PAIRED ARROWS;
⇋;21CB;LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON;
⇌;21CC;RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON;
⇍;21CD;LEFTWARDS DOUBLE ARROW WITH STROKE;
⇎;21CE;LEFT RIGHT DOUBLE ARROW WITH STROKE;
⇏;21CF;RIGHTWARDS DOUBLE ARROW WITH STROKE;
⇐;21D0;LEFTWARDS DOUBLE ARROW;
⇑;21D1;UPWARDS DOUBLE ARROW;
⇒;21D2;RIGHTWARDS DOUBLE ARROW;
⇓;21D3;DOWNWARDS DOUBLE ARROW;
⇔;21D4;LEFT RIGHT DOUBLE ARROW;
⇕;21D5;UP DOWN DOUBLE ARROW;
⇖;21D6;NORTH WEST DOUBLE ARROW;
⇗;21D7;NORTH EAST DOUBLE ARROW;
⇘;21D8;SOUTH EAST DOUBLE ARROW;
⇙;21D9;SOUTH WEST DOUBLE ARROW;
⇚;21DA;LEFTWARDS TRIPLE ARROW;
⇛;21DB;RIGHTWARDS TRIPLE ARROW;
⇜;21DC;LEFTWARDS SQUIGGLE ARROW;
⇝;21DD;RIGHTWARDS SQUIGGLE ARROW;
⇞;21DE;UPWARDS ARROW WITH DOUBLE STROKE;
⇟;21DF;DOWNWARDS ARROW WITH DOUBLE STROKE;
⇠;21E0;LEFTWARDS DASHED ARROW;
⇡;21E1;UPWARDS DASHED ARROW;
⇢;21E2;RIGHTWARDS DASHED ARROW;
⇣;21E3;DOWNWARDS DASHED ARROW;
⇤;21E4;LEFTWARDS ARROW TO BAR;
⇥;21E5;RIGHTWARDS ARROW TO BAR;
⇦;21E6;LEFTWARDS WHITE ARROW;
⇧;21E7;UPWARDS WHITE ARROW;
⇨;21E8;RIGHTWARDS WHITE ARROW;
⇩;21E9;DOWNWARDS WHITE ARROW;
⇪;21EA;UPWARDS WHITE ARROW FROM BAR;
⇫;21EB;UPWARDS WHITE ARROW ON PEDESTAL;
⇬;21EC;UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR;
⇭;21ED;UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR;
⇮;21EE;UPWARDS WHITE DOUBLE ARROW;
⇯;21EF;UPWARDS WHITE DOUBLE ARROW ON PEDESTAL;
⇰;21F0;RIGHTWARDS WHITE ARROW FROM WALL;
⇱;21F1;NORTH WEST ARROW TO CORNER;
⇲;21F2;SOUTH EAST ARROW TO CORNER;
⇳;21F3;UP DOWN WHITE ARROW;
⇴;21F4;RIGHT ARROW WITH SMALL CIRCLE;
⇵;21F5;DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW;
⇶;21F6;THREE RIGHTWARDS ARROWS;
⇷;21F7;LEFTWARDS ARROW WITH VERTICAL STROKE;
⇸;21F8;RIGHTWARDS ARROW WITH VERTICAL STROKE;
⇹;21F9;LEFT RIGHT ARROW WITH VERTICAL STROKE;
⇺;21FA;LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE;
⇻;21FB;RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE;
⇼;21FC;LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE;
⇽;21FD;LEFTWARDS OPEN-HEADED ARROW;
⇾;21FE;RIGHTWARDS OPEN-HEADED ARROW;
⇿;21FF;LEFT RIGHT OPEN-HEADED ARROW;
⌀;2300;DIAMETER SIGN;
⌁;2301;ELECTRIC ARROW;
⌂;2302;HOUSE;
⌃;2303;UP ARROWHEAD;
⌄;2304;DOWN ARROWHEAD;
⌅;2305;PROJECTIVE;
⌆;2306;PERSPECTIVE;
⌇;2307;WAVY LINE;
⌈;2308;LEFT CEILING;
⌉;2309;RIGHT CEILING;
⌊;230A;LEFT FLOOR;
⌋;230B;RIGHT FLOOR;
⌌;230C;BOTTOM RIGHT CROP;
⌍;230D;BOTTOM LEFT CROP;
⌎;230E;TOP RIGHT CROP;
⌏;230F;TOP LEFT CROP;
⌐;2310;REVERSED NOT SIGN;
⌑;2311;SQUARE LOZENGE;
⌒;2312;ARC;
⌓;2313;SEGMENT;
⌔;2314;SECTOR;
⌕;2315;TELEPHONE RECORDER;
⌖;2316;POSITION INDICATOR;
⌗;2317;VIEWDATA SQUARE;
⌘;2318;PLACE OF INTEREST SIGN;
⌙;2319;TURNED NOT SIGN;
⌚;231A;WATCH;
⌛;231B;HOURGLASS;
⌜;231C;TOP LEFT CORNER;
⌝;231D;TOP RIGHT CORNER;
⌞;231E;BOTTOM LEFT CORNER;
⌟;231F;BOTTOM RIGHT CORNER;
⌠;2320;TOP HALF INTEGRAL;
⌡;2321;BOTTOM HALF INTEGRAL;
⌢;2322;FROWN;
⌣;2323;SMILE;
⌤;2324;UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS;
⌥;2325;OPTION KEY;
⌦;2326;ERASE TO THE RIGHT;
⌧;2327;X IN A RECTANGLE BOX;
⌨;2328;KEYBOARD;
〈;2329;LEFT-POINTING ANGLE BRACKET;
〉;232A;RIGHT-POINTING ANGLE BRACKET;
⌫;232B;ERASE TO THE LEFT;
⌬;232C;BENZENE RING;
⌭;232D;CYLINDRICITY;
⌮;232E;ALL AROUND-PROFILE;
⌯;232F;SYMMETRY;
⌰;2330;TOTAL RUNOUT;
⌱;2331;DIMENSION ORIGIN;
⌲;2332;CONICAL TAPER;
⌳;2333;SLOPE;
⌴;2334;COUNTERBORE;
⌵;2335;COUNTERSINK;
⌶;2336;APL FUNCTIONAL SYMBOL I-BEAM;
⌷;2337;APL FUNCTIONAL SYMBOL SQUISH QUAD;
⌸;2338;APL FUNCTIONAL SYMBOL QUAD EQUAL;
⌹;2339;APL FUNCTIONAL SYMBOL QUAD DIVIDE;
⌺;233A;APL FUNCTIONAL SYMBOL QUAD DIAMOND;
⌻;233B;APL FUNCTIONAL SYMBOL QUAD JOT;
⌼;233C;APL FUNCTIONAL SYMBOL QUAD CIRCLE;
⌽;233D;APL FUNCTIONAL SYMBOL CIRCLE STILE;
⌾;233E;APL FUNCTIONAL SYMBOL CIRCLE JOT;
⌿;233F;APL FUNCTIONAL SYMBOL SLASH BAR;
⍀;2340;APL FUNCTIONAL SYMBOL BACKSLASH BAR;
⍁;2341;APL FUNCTIONAL SYMBOL QUAD SLASH;
⍂;2342;APL FUNCTIONAL SYMBOL QUAD BACKSLASH;
⍃;2343;APL FUNCTIONAL SYMBOL QUAD LESS-THAN;
⍄;2344;APL FUNCTIONAL SYMBOL QUAD GREATER-THAN;
⍅;2345;APL FUNCTIONAL SYMBOL LEFTWARDS VANE;
⍆;2346;APL FUNCTIONAL SYMBOL RIGHTWARDS VANE;
⍇;2347;APL FUNCTIONAL SYMBOL QUAD LEFTWARDS ARROW;
⍈;2348;APL FUNCTIONAL SYMBOL QUAD RIGHTWARDS ARROW;
⍉;2349;APL FUNCTIONAL SYMBOL CIRCLE BACKSLASH;
⍊;234A;APL FUNCTIONAL SYMBOL DOWN TACK UNDERBAR;
⍋;234B;APL FUNCTIONAL SYMBOL DELTA STILE;
⍌;234C;APL FUNCTIONAL SYMBOL QUAD DOWN CARET;
⍍;234D;APL FUNCTIONAL SYMBOL QUAD DELTA;
⍎;234E;APL FUNCTIONAL SYMBOL DOWN TACK JOT;
⍏;234F;APL FUNCTIONAL SYMBOL UPWARDS VANE;
⍐;2350;APL FUNCTIONAL SYMBOL QUAD UPWARDS ARROW;
⍑;2351;APL FUNCTIONAL SYMBOL UP TACK OVERBAR;
⍒;2352;APL FUNCTIONAL SYMBOL DEL STILE;
⍓;2353;APL FUNCTIONAL SYMBOL QUAD UP CARET;
⍔;2354;APL FUNCTIONAL SYMBOL QUAD DEL;
⍕;2355;APL FUNCTIONAL SYMBOL UP TACK JOT;
⍖;2356;APL FUNCTIONAL SYMBOL DOWNWARDS VANE;
⍗;2357;APL FUNCTIONAL SYMBOL QUAD DOWNWARDS ARROW;
⍘;2358;APL FUNCTIONAL SYMBOL QUOTE UNDERBAR;
⍙;2359;APL FUNCTIONAL SYMBOL DELTA UNDERBAR;
⍚;235A;APL FUNCTIONAL SYMBOL DIAMOND UNDERBAR;
⍛;235B;APL FUNCTIONAL SYMBOL JOT UNDERBAR;
⍜;235C;APL FUNCTIONAL SYMBOL CIRCLE UNDERBAR;
⍝;235D;APL FUNCTIONAL SYMBOL UP SHOE JOT;
⍞;235E;APL FUNCTIONAL SYMBOL QUOTE QUAD;
⍟;235F;APL FUNCTIONAL SYMBOL CIRCLE STAR;
⍠;2360;APL FUNCTIONAL SYMBOL QUAD COLON;
⍡;2361;APL FUNCTIONAL SYMBOL UP TACK DIAERESIS;
⍢;2362;APL FUNCTIONAL SYMBOL DEL DIAERESIS;
⍣;2363;APL FUNCTIONAL SYMBOL STAR DIAERESIS;
⍤;2364;APL FUNCTIONAL SYMBOL JOT DIAERESIS;
⍥;2365;APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS;
⍦;2366;APL FUNCTIONAL SYMBOL DOWN SHOE STILE;
⍧;2367;APL FUNCTIONAL SYMBOL LEFT SHOE STILE;
⍨;2368;APL FUNCTIONAL SYMBOL TILDE DIAERESIS;
⍩;2369;APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS;
⍪;236A;APL FUNCTIONAL SYMBOL COMMA BAR;
⍫;236B;APL FUNCTIONAL SYMBOL DEL TILDE;
⍬;236C;APL FUNCTIONAL SYMBOL ZILDE;
⍭;236D;APL FUNCTIONAL SYMBOL STILE TILDE;
⍮;236E;APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR;
⍯;236F;APL FUNCTIONAL SYMBOL QUAD NOT EQUAL;
⍰;2370;APL FUNCTIONAL SYMBOL QUAD QUESTION;
⍱;2371;APL FUNCTIONAL SYMBOL DOWN CARET TILDE;
⍲;2372;APL FUNCTIONAL SYMBOL UP CARET TILDE;
⍳;2373;APL FUNCTIONAL SYMBOL IOTA;
⍴;2374;APL FUNCTIONAL SYMBOL RHO;
⍵;2375;APL FUNCTIONAL SYMBOL OMEGA;
⍶;2376;APL FUNCTIONAL SYMBOL ALPHA UNDERBAR;
⍷;2377;APL FUNCTIONAL SYMBOL EPSILON UNDERBAR;
⍸;2378;APL FUNCTIONAL SYMBOL IOTA UNDERBAR;
⍹;2379;APL FUNCTIONAL SYMBOL OMEGA UNDERBAR;
⍺;237A;APL FUNCTIONAL SYMBOL ALPHA;
⍻;237B;NOT CHECK MARK;
⍼;237C;RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW;
⍽;237D;SHOULDERED OPEN BOX;
⍾;237E;BELL SYMBOL;
⍿;237F;VERTICAL LINE WITH MIDDLE DOT;
⎀;2380;INSERTION SYMBOL;
⎁;2381;CONTINUOUS UNDERLINE SYMBOL;
⎂;2382;DISCONTINUOUS UNDERLINE SYMBOL;
⎃;2383;EMPHASIS SYMBOL;
⎄;2384;COMPOSITION SYMBOL;
⎅;2385;WHITE SQUARE WITH CENTRE VERTICAL LINE;
⎆;2386;ENTER SYMBOL;
⎇;2387;ALTERNATIVE KEY SYMBOL;
⎈;2388;HELM SYMBOL;
⎉;2389;CIRCLED HORIZONTAL BAR WITH NOTCH;
⎊;238A;CIRCLED TRIANGLE DOWN;
⎋;238B;BROKEN CIRCLE WITH NORTHWEST ARROW;
⎌;238C;UNDO SYMBOL;
⎍;238D;MONOSTABLE SYMBOL;
⎎;238E;HYSTERESIS SYMBOL;
⎏;238F;OPEN-CIRCUIT-OUTPUT H-TYPE SYMBOL;
⎐;2390;OPEN-CIRCUIT-OUTPUT L-TYPE SYMBOL;
⎑;2391;PASSIVE-PULL-DOWN-OUTPUT SYMBOL;
⎒;2392;PASSIVE-PULL-UP-OUTPUT SYMBOL;
⎓;2393;DIRECT CURRENT SYMBOL FORM TWO;
⎔;2394;SOFTWARE-FUNCTION SYMBOL;
⎕;2395;APL FUNCTIONAL SYMBOL QUAD;
⎖;2396;DECIMAL SEPARATOR KEY SYMBOL;
⎗;2397;PREVIOUS PAGE;
⎘;2398;NEXT PAGE;
⎙;2399;PRINT SCREEN SYMBOL;
⎚;239A;CLEAR SCREEN SYMBOL;
⎛;239B;LEFT PARENTHESIS UPPER HOOK;
⎜;239C;LEFT PARENTHESIS EXTENSION;
⎝;239D;LEFT PARENTHESIS LOWER HOOK;
⎞;239E;RIGHT PARENTHESIS UPPER HOOK;
⎟;239F;RIGHT PARENTHESIS EXTENSION;
⎠;23A0;RIGHT PARENTHESIS LOWER HOOK;
⎡;23A1;LEFT SQUARE BRACKET UPPER CORNER;
⎢;23A2;LEFT SQUARE BRACKET EXTENSION;
⎣;23A3;LEFT SQUARE BRACKET LOWER CORNER;
⎤;23A4;RIGHT SQUARE BRACKET UPPER CORNER;
⎥;23A5;RIGHT SQUARE BRACKET EXTENSION;
⎦;23A6;RIGHT SQUARE BRACKET LOWER CORNER;
⎧;23A7;LEFT CURLY BRACKET UPPER HOOK;
⎨;23A8;LEFT CURLY BRACKET MIDDLE PIECE;
⎩;23A9;LEFT CURLY BRACKET LOWER HOOK;
⎪;23AA;CURLY BRACKET EXTENSION;
⎫;23AB;RIGHT CURLY BRACKET UPPER HOOK;
⎬;23AC;RIGHT CURLY BRACKET MIDDLE PIECE;
⎭;23AD;RIGHT CURLY BRACKET LOWER HOOK;
⎮;23AE;INTEGRAL EXTENSION;
⎯;23AF;HORIZONTAL LINE EXTENSION;
⎰;23B0;UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION;
⎱;23B1;UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION;
⎲;23B2;SUMMATION TOP;
⎳;23B3;SUMMATION BOTTOM;
⎴;23B4;TOP SQUARE BRACKET;
⎵;23B5;BOTTOM SQUARE BRACKET;
⎶;23B6;BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET;
⎷;23B7;RADICAL SYMBOL BOTTOM;
⎸;23B8;LEFT VERTICAL BOX LINE;
⎹;23B9;RIGHT VERTICAL BOX LINE;
⎺;23BA;HORIZONTAL SCAN LINE-1;
⎻;23BB;HORIZONTAL SCAN LINE-3;
⎼;23BC;HORIZONTAL SCAN LINE-7;
⎽;23BD;HORIZONTAL SCAN LINE-9;
⎾;23BE;DENTISTRY SYMBOL LIGHT VERTICAL AND TOP RIGHT;
⎿;23BF;DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM RIGHT;
⏀;23C0;DENTISTRY SYMBOL LIGHT VERTICAL WITH CIRCLE;
⏁;23C1;DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH CIRCLE;
⏂;23C2;DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH CIRCLE;
⏃;23C3;DENTISTRY SYMBOL LIGHT VERTICAL WITH TRIANGLE;
⏄;23C4;DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH TRIANGLE;
⏅;23C5;DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH TRIANGLE;
⏆;23C6;DENTISTRY SYMBOL LIGHT VERTICAL AND WAVE;
⏇;23C7;DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH WAVE;
⏈;23C8;DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH WAVE;
⏉;23C9;DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL;
⏊;23CA;DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL;
⏋;23CB;DENTISTRY SYMBOL LIGHT VERTICAL AND TOP LEFT;
⏌;23CC;DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM LEFT;
⏍;23CD;SQUARE FOOT;
⏎;23CE;RETURN SYMBOL;
⏏;23CF;EJECT SYMBOL;
⏐;23D0;VERTICAL LINE EXTENSION;
⏑;23D1;METRICAL BREVE;
⏒;23D2;METRICAL LONG OVER SHORT;
⏓;23D3;METRICAL SHORT OVER LONG;
⏔;23D4;METRICAL LONG OVER TWO SHORTS;
⏕;23D5;METRICAL TWO SHORTS OVER LONG;
⏖;23D6;METRICAL TWO SHORTS JOINED;
⏗;23D7;METRICAL TRISEME;
⏘;23D8;METRICAL TETRASEME;
⏙;23D9;METRICAL PENTASEME;
⏚;23DA;EARTH GROUND;
⏛;23DB;FUSE;
⏜;23DC;TOP PARENTHESIS;
⏝;23DD;BOTTOM PARENTHESIS;
⏞;23DE;TOP CURLY BRACKET;
⏟;23DF;BOTTOM CURLY BRACKET;
⏠;23E0;TOP TORTOISE SHELL BRACKET;
⏡;23E1;BOTTOM TORTOISE SHELL BRACKET;
⏢;23E2;WHITE TRAPEZIUM;
⏣;23E3;BENZENE RING WITH CIRCLE;
⏤;23E4;STRAIGHTNESS;
⏥;23E5;FLATNESS;
⏦;23E6;AC CURRENT;
⏧;23E7;ELECTRICAL INTERSECTION;
⏨;23E8;DECIMAL EXPONENT SYMBOL;
⏩;23E9;BLACK RIGHT-POINTING DOUBLE TRIANGLE;
